BELNR,GJAHR,BUDAT,CPUDT,BUKRS,BLART,CPUTM
6100000059,2018,20180426,20180426,companyID_0000,KZ,091500
6100000060,2018,20180524,20180524,companyID_0000,KZ,113600
6100000061,2018,20180531,20180531,companyID_0000,KZ,103300
6100000062,2018,20180628,20180628,companyID_0000,KZ,120500
6100000063,2018,20180705,20180705,companyID_0000,KZ,121300
6100000064,2018,20180726,20180726,companyID_0000,KZ,160900
6100000065,2018,20180830,20180830,companyID_0000,KZ,134000
6100000066,2018,20180928,20180928,companyID_0000,KZ,082900
6100000067,2018,20181004,20181004,companyID_0000,KZ,145000
6100000068,2018,20181011,20181011,companyID_0000,KZ,114700
6100000069,2018,20181018,20181018,companyID_0000,KZ,152100
6100000070,2018,20181026,20181026,companyID_0000,KZ,090300
6100000071,2018,20181115,20181115,companyID_0000,KZ,143500
6100000072,2018,20181129,20181129,companyID_0000,KZ,151600
6100000073,2019,20190104,20190104,companyID_0000,KZ,225900
6100000074,2018,20180705,20180705,companyID_0000,KZ,121300
6100000075,2018,20180802,20180802,companyID_0000,KZ,140700
6100000076,2018,20180830,20180830,companyID_0000,KZ,134000
6100000077,2018,20181026,20181026,companyID_0000,KZ,090400
6100000078,2019,20190103,20190103,companyID_0000,KZ,151200
6100000079,2019,20190104,20190104,companyID_0000,KZ,225900
6100000080,2018,20180222,20180222,companyID_0000,KZ,151800
6100000081,2018,20180329,20180329,companyID_0000,KZ,131100
6100000082,2018,20180426,20180426,companyID_0000,KZ,091600
6100000083,2018,20180524,20180524,companyID_0000,KZ,113600
6100000084,2018,20180705,20180705,companyID_0000,KZ,121300
6100000085,2018,20180726,20180726,companyID_0000,KZ,160900
6100000086,2018,20180830,20180830,companyID_0000,KZ,134000
6100000087,2018,20180928,20180928,companyID_0000,KZ,082900
6100000088,2018,20181101,20181101,companyID_0000,KZ,152700
6100000089,2018,20181129,20181129,companyID_0000,KZ,151600
6100000090,2019,20190104,20190104,companyID_0000,KZ,225900
6100000091,2018,20180222,20180222,companyID_0000,KZ,151800
6100000092,2018,20180329,20180329,companyID_0000,KZ,131000
6100000093,2018,20180426,20180426,companyID_0000,KZ,091500
6100000094,2018,20180531,20180531,companyID_0000,KZ,103300
6100000095,2018,20180628,20180628,companyID_0000,KZ,120500
6100000096,2018,20180726,20180726,companyID_0000,KZ,160900
6100000097,2018,20180830,20180830,companyID_0000,KZ,134000
6100000098,2018,20181004,20181004,companyID_0000,KZ,145000
6100000099,2018,20181101,20181101,companyID_0000,KZ,152700
6100000100,2018,20180315,20180315,companyID_0000,KZ,131400
6100000101,2018,20180329,20180329,companyID_0000,KZ,131000
6100000102,2018,20180517,20180517,companyID_0000,KZ,125100
6100000103,2018,20180531,20180531,companyID_0000,KZ,103300
6100000104,2018,20180705,20180705,companyID_0000,KZ,121300
6100000105,2018,20180802,20180802,companyID_0000,KZ,140700
6100000106,2018,20180906,20180906,companyID_0000,KZ,120800
6100000107,2018,20180928,20180928,companyID_0000,KZ,082900
6100000108,2018,20181004,20181004,companyID_0000,KZ,145000
6100000109,2018,20181101,20181101,companyID_0000,KZ,152700
6100000110,2018,20181115,20181115,companyID_0000,KZ,143500
6100000111,2018,20181129,20181129,companyID_0000,KZ,151600
6100000112,2019,20190104,20190104,companyID_0000,KZ,225900
6100000113,2018,20180308,20180308,companyID_0000,KZ,122200
6100000114,2018,20180426,20180426,companyID_0000,KZ,091500
6100000115,2018,20180524,20180524,companyID_0000,KZ,113600
6100000116,2018,20180705,20180705,companyID_0000,KZ,121300
6100000117,2018,20180726,20180726,companyID_0000,KZ,160900
6100000118,2018,20180802,20180802,companyID_0000,KZ,140700
6100000119,2018,20181213,20181213,companyID_0000,KZ,130900
6100000120,2018,20180405,20180405,companyID_0000,KZ,134900
6100000121,2018,20180308,20180308,companyID_0000,KZ,122000
6100000122,2018,20180308,20180308,companyID_0000,KZ,122000
6100000123,2018,20181004,20181004,companyID_0000,KZ,145000
6100000124,2018,20181108,20181108,companyID_0000,KZ,154500
6100000125,2018,20181207,20181207,companyID_0000,KZ,080800
6100000126,2019,20190110,20190110,companyID_0000,KZ,144500
6100000127,2018,20180405,20180405,companyID_0000,KZ,135000
6100000128,2018,20180607,20180607,companyID_0000,KZ,111200
6100000129,2018,20180705,20180705,companyID_0000,KZ,121200
6100000130,2018,20180809,20180809,companyID_0000,KZ,123000
6100000131,2018,20181025,20181025,companyID_0000,KZ,100300
6100000132,2018,20181030,20181030,companyID_0000,KZ,111900
6100000133,2018,20180308,20180308,companyID_0000,KZ,122100
6100000134,2018,20180308,20180308,companyID_0000,KZ,122100
6100000135,2018,20180308,20180308,companyID_0000,KZ,122100
6100000136,2018,20180802,20180802,companyID_0000,KZ,140600
6100000137,2018,20180329,20180329,companyID_0000,KZ,130600
6100000138,2018,20180308,20180308,companyID_0000,KZ,122100
6100000139,2018,20180607,20180607,companyID_0000,KZ,111200
6100000140,2018,20180222,20180222,companyID_0000,KZ,151800
6100000141,2018,20180329,20180329,companyID_0000,KZ,131000
6100000142,2018,20180426,20180426,companyID_0000,KZ,091500
6100000143,2018,20180524,20180524,companyID_0000,KZ,113600
6100000144,2018,20180628,20180628,companyID_0000,KZ,120500
6100000145,2018,20180726,20180726,companyID_0000,KZ,160900
6100000146,2018,20180928,20180928,companyID_0000,KZ,082900
6100000147,2018,20181108,20181108,companyID_0000,KZ,154500
6100000148,2018,20181129,20181129,companyID_0000,KZ,151600
6100000149,2018,20180308,20180308,companyID_0000,KZ,122200
6100000150,2018,20180913,20180913,companyID_0000,KZ,144200
6100000151,2018,20180329,20180329,companyID_0000,KZ,130600
6100000152,2018,20180329,20180329,companyID_0000,KZ,130600
6100000153,2018,20180329,20180329,companyID_0000,KZ,130600
6100000154,2018,20180329,20180329,companyID_0000,KZ,130700
6100000155,2018,20180308,20180308,companyID_0000,KZ,122000
6100000156,2018,20180308,20180308,companyID_0000,KZ,122000
6100000157,2018,20180405,20180405,companyID_0000,KZ,134900
6100000158,2018,20180823,20180823,companyID_0000,KZ,113900
6100000159,2018,20180823,20180823,companyID_0000,KZ,113900
6100000160,2018,20180208,20180208,companyID_0000,KZ,134400
6100000161,2018,20180208,20180208,companyID_0000,KZ,134400
6100000162,2018,20180329,20180329,companyID_0000,KZ,130600
6100000163,2018,20180308,20180308,companyID_0000,KZ,122100
6100000164,2018,20180308,20180308,companyID_0000,KZ,122100
6100000165,2018,20180208,20180208,companyID_0000,KZ,134400
6100000166,2018,20180222,20180222,companyID_0000,KZ,151800
6100000167,2018,20180227,20180227,companyID_0000,KZ,133500
6100000168,2018,20180308,20180308,companyID_0000,KZ,122200
6100000169,2018,20180315,20180315,companyID_0000,KZ,131300
6100000170,2018,20180322,20180322,companyID_0000,KZ,123200
6100000171,2018,20180329,20180329,companyID_0000,KZ,131000
6100000172,2018,20180426,20180426,companyID_0000,KZ,091500
6100000173,2018,20180426,20180426,companyID_0000,KZ,091500
6100000174,2018,20180524,20180524,companyID_0000,KZ,113600
6100000175,2018,20180528,20180528,companyID_0000,KZ,145400
6100000176,2018,20180528,20180528,companyID_0000,KZ,145900
6100000177,2018,20180528,20180528,companyID_0000,KZ,150500
6100000178,2018,20180528,20180528,companyID_0000,KZ,151200
6100000179,2018,20180531,20180531,companyID_0000,KZ,103300
6100000180,2018,20180531,20180531,companyID_0000,KZ,103300
6100000181,2018,20180531,20180531,companyID_0000,KZ,151100
6100000182,2018,20180614,20180614,companyID_0000,KZ,130100
6100000183,2018,20180628,20180628,companyID_0000,KZ,120400
6100000184,2018,20180628,20180628,companyID_0000,KZ,120400
6100000185,2018,20180705,20180705,companyID_0000,KZ,121100
6100000186,2018,20180705,20180705,companyID_0000,KZ,121200
6100000187,2018,20180726,20180726,companyID_0000,KZ,160700
6100000188,2018,20180802,20180802,companyID_0000,KZ,140700
6100000189,2018,20180817,20180817,companyID_0000,KZ,154300
6100000190,2018,20180823,20180823,companyID_0000,KZ,113900
6100000191,2018,20180823,20180823,companyID_0000,KZ,114000
6100000192,2018,20180830,20180830,companyID_0000,KZ,133800
6100000193,2018,20180920,20180920,companyID_0000,KZ,141300
6100000194,2018,20180928,20180928,companyID_0000,KZ,082700
6100000195,2018,20180928,20180928,companyID_0000,KZ,082800
6100000196,2018,20181026,20181026,companyID_0000,KZ,090200
6100000197,2018,20181026,20181026,companyID_0000,KZ,090300
6100000198,2018,20181101,20181101,companyID_0000,KZ,152600
6100000199,2018,20181122,20181122,companyID_0000,KZ,135400
6100000200,2018,20181129,20181129,companyID_0000,KZ,151500
6100000201,2018,20181129,20181129,companyID_0000,KZ,151500
6100000202,2018,20181207,20181207,companyID_0000,KZ,080600
6100000203,2019,20190103,20190103,companyID_0000,KZ,151200
6100000204,2019,20190103,20190103,companyID_0000,KZ,225900
6100000205,2019,20190110,20190110,companyID_0000,KZ,144500
6100000206,2018,20180315,20180315,companyID_0000,KZ,131300
6100000207,2018,20180509,20180509,companyID_0000,KZ,121000
6100000208,2018,20180405,20180405,companyID_0000,KZ,134900
6100000209,2018,20180308,20180308,companyID_0000,KZ,122000
6100000210,2018,20180329,20180329,companyID_0000,KZ,130600
6100000211,2018,20180329,20180329,companyID_0000,KZ,130600
6100000212,2018,20180329,20180329,companyID_0000,KZ,130600
6100000213,2018,20180329,20180329,companyID_0000,KZ,130600
6100000214,2018,20180222,20180222,companyID_0000,KZ,151800
6100000215,2018,20180322,20180322,companyID_0000,KZ,123200
6100000216,2018,20180426,20180426,companyID_0000,KZ,091600
6100000217,2018,20180524,20180524,companyID_0000,KZ,113600
6100000218,2018,20180628,20180628,companyID_0000,KZ,120600
6100000219,2018,20180726,20180726,companyID_0000,KZ,160900
6100000220,2018,20180816,20180816,companyID_0000,KZ,130300
6100000221,2018,20180928,20180928,companyID_0000,KZ,082900
6100000222,2018,20181026,20181026,companyID_0000,KZ,090400
6100000223,2018,20181129,20181129,companyID_0000,KZ,151600
6100000224,2019,20190104,20190104,companyID_0000,KZ,225900
6100000225,2019,20190110,20190110,companyID_0000,KZ,144600
6100000226,2018,20180222,20180222,companyID_0000,KZ,151800
6100000227,2018,20180322,20180322,companyID_0000,KZ,123200
6100000228,2018,20180426,20180426,companyID_0000,KZ,091600
6100000229,2018,20180524,20180524,companyID_0000,KZ,113600
6100000230,2018,20180628,20180628,companyID_0000,KZ,120600
6100000231,2018,20180726,20180726,companyID_0000,KZ,160900
6100000232,2018,20180816,20180816,companyID_0000,KZ,130300
6100000233,2018,20180928,20180928,companyID_0000,KZ,082900
6100000234,2018,20181026,20181026,companyID_0000,KZ,090400
6100000235,2018,20180222,20180222,companyID_0000,KZ,151800
6100000236,2018,20180322,20180322,companyID_0000,KZ,123200
6100000237,2018,20180426,20180426,companyID_0000,KZ,091600
6100000238,2018,20180607,20180607,companyID_0000,KZ,111300
6100000239,2018,20180628,20180628,companyID_0000,KZ,120600
6100000240,2018,20180726,20180726,companyID_0000,KZ,160900
6100000241,2018,20181004,20181004,companyID_0000,KZ,145000
6100000242,2018,20181026,20181026,companyID_0000,KZ,090400
6100000243,2018,20181129,20181129,companyID_0000,KZ,151600
6100000244,2019,20190104,20190104,companyID_0000,KZ,225900
6100000245,2019,20190110,20190110,companyID_0000,KZ,144600
6100000246,2018,20180222,20180222,companyID_0000,KZ,151800
6100000247,2018,20180322,20180322,companyID_0000,KZ,123200
6100000248,2018,20180426,20180426,companyID_0000,KZ,091600
6100000249,2018,20180607,20180607,companyID_0000,KZ,111300
6100000250,2018,20180628,20180628,companyID_0000,KZ,120600
6100000251,2018,20180726,20180726,companyID_0000,KZ,160900
6100000252,2018,20180830,20180830,companyID_0000,KZ,134000
6100000253,2018,20180928,20180928,companyID_0000,KZ,082900
6100000254,2018,20181026,20181026,companyID_0000,KZ,090400
6100000255,2018,20181129,20181129,companyID_0000,KZ,151600
6100000256,2019,20190104,20190104,companyID_0000,KZ,225900
6100000257,2019,20190110,20190110,companyID_0000,KZ,144600
6100000258,2018,20180222,20180222,companyID_0000,KZ,151800
6100000259,2018,20180322,20180322,companyID_0000,KZ,123200
6100000260,2018,20180426,20180426,companyID_0000,KZ,091600
6100000261,2018,20180524,20180524,companyID_0000,KZ,113600
6100000262,2018,20180628,20180628,companyID_0000,KZ,120600
6100000263,2018,20180726,20180726,companyID_0000,KZ,160900
6100000264,2018,20180816,20180816,companyID_0000,KZ,130300
6100000265,2018,20180928,20180928,companyID_0000,KZ,082900
6100000266,2018,20181026,20181026,companyID_0000,KZ,090400
6100000267,2018,20181129,20181129,companyID_0000,KZ,151600
6100000268,2019,20190104,20190104,companyID_0000,KZ,225900
6100000269,2019,20190110,20190110,companyID_0000,KZ,144600
6100000270,2018,20180222,20180222,companyID_0000,KZ,151800
6100000271,2018,20180322,20180322,companyID_0000,KZ,123200
6100000272,2018,20180426,20180426,companyID_0000,KZ,091600
6100000273,2018,20180524,20180524,companyID_0000,KZ,113600
6100000274,2018,20180628,20180628,companyID_0000,KZ,120600
6100000275,2018,20180726,20180726,companyID_0000,KZ,160900
6100000276,2018,20180816,20180816,companyID_0000,KZ,130300
6100000277,2018,20180928,20180928,companyID_0000,KZ,082900
6100000278,2018,20181026,20181026,companyID_0000,KZ,090400
6100000279,2018,20181129,20181129,companyID_0000,KZ,151600
6100000280,2019,20190104,20190104,companyID_0000,KZ,225900
6100000281,2019,20190110,20190110,companyID_0000,KZ,144600
6100000282,2018,20180222,20180222,companyID_0000,KZ,151800
6100000283,2018,20180322,20180322,companyID_0000,KZ,123200
6100000284,2018,20180426,20180426,companyID_0000,KZ,091600
6100000285,2018,20180524,20180524,companyID_0000,KZ,113600
6100000286,2018,20180628,20180628,companyID_0000,KZ,120600
6100000287,2018,20180726,20180726,companyID_0000,KZ,160900
6100000288,2018,20180816,20180816,companyID_0000,KZ,130300
6100000289,2018,20180928,20180928,companyID_0000,KZ,082900
6100000290,2018,20181026,20181026,companyID_0000,KZ,090400
6100000291,2018,20181129,20181129,companyID_0000,KZ,151600
6100000292,2019,20190104,20190104,companyID_0000,KZ,225900
6100000293,2019,20190110,20190110,companyID_0000,KZ,144600
6100000294,2018,20180301,20180301,companyID_0000,KZ,130600
6100000295,2018,20180517,20180517,companyID_0000,KZ,125100
6100000296,2018,20180524,20180524,companyID_0000,KZ,113600
6100000297,2018,20180607,20180607,companyID_0000,KZ,111300
6100000298,2018,20180628,20180628,companyID_0000,KZ,120600
6100000299,2018,20180726,20180726,companyID_0000,KZ,160900
6100000300,2018,20181011,20181011,companyID_0000,KZ,114700
6100000301,2018,20181026,20181026,companyID_0000,KZ,090400
6100000302,2019,20190104,20190104,companyID_0000,KZ,225900
6100000303,2019,20190110,20190110,companyID_0000,KZ,144600
6100000304,2018,20180222,20180222,companyID_0000,KZ,151800
6100000305,2018,20180322,20180322,companyID_0000,KZ,123200
6100000306,2018,20180426,20180426,companyID_0000,KZ,091600
6100000307,2018,20180524,20180524,companyID_0000,KZ,113600
6100000308,2018,20180628,20180628,companyID_0000,KZ,120600
6100000309,2018,20180726,20180726,companyID_0000,KZ,160900
6100000310,2018,20180816,20180816,companyID_0000,KZ,130300
6100000311,2018,20180928,20180928,companyID_0000,KZ,082900
6100000312,2018,20181026,20181026,companyID_0000,KZ,090400
6100000313,2018,20181129,20181129,companyID_0000,KZ,151600
6100000314,2019,20190104,20190104,companyID_0000,KZ,225900
6100000315,2019,20190110,20190110,companyID_0000,KZ,144600
6100000316,2018,20180222,20180222,companyID_0000,KZ,151800
6100000317,2018,20180322,20180322,companyID_0000,KZ,123200
6100000318,2018,20180426,20180426,companyID_0000,KZ,091600
6100000319,2018,20180524,20180524,companyID_0000,KZ,113600
6100000320,2018,20180628,20180628,companyID_0000,KZ,120600
6100000321,2018,20180726,20180726,companyID_0000,KZ,160900
6100000322,2018,20180816,20180816,companyID_0000,KZ,130300
6100000323,2018,20180928,20180928,companyID_0000,KZ,082900
6100000324,2018,20181101,20181101,companyID_0000,KZ,152700
6100000325,2018,20181207,20181207,companyID_0000,KZ,080900
6100000326,2019,20190104,20190104,companyID_0000,KZ,225900
6100000327,2019,20190110,20190110,companyID_0000,KZ,144600
6100000328,2018,20180301,20180301,companyID_0000,KZ,130600
6100000329,2018,20180322,20180322,companyID_0000,KZ,123200
6100000330,2018,20180426,20180426,companyID_0000,KZ,091600
6100000331,2018,20180518,20180518,companyID_0000,KZ,082900
6100000332,2018,20180628,20180628,companyID_0000,KZ,120600
6100000333,2018,20180726,20180726,companyID_0000,KZ,160900
6100000334,2018,20180816,20180816,companyID_0000,KZ,130300
6100000335,2018,20180928,20180928,companyID_0000,KZ,082900
6100000336,2018,20181026,20181026,companyID_0000,KZ,090400
6100000337,2018,20181129,20181129,companyID_0000,KZ,151600
6100000338,2019,20190105,20190105,companyID_0000,KZ,225900
6100000339,2019,20190110,20190110,companyID_0000,KZ,144600
6100000340,2018,20180222,20180222,companyID_0000,KZ,151800
6100000341,2018,20180322,20180322,companyID_0000,KZ,123200
6100000342,2018,20180426,20180426,companyID_0000,KZ,091600
6100000343,2018,20180607,20180607,companyID_0000,KZ,111300
6100000344,2018,20180628,20180628,companyID_0000,KZ,120600
6100000345,2018,20180726,20180726,companyID_0000,KZ,160900
6100000346,2018,20180830,20180830,companyID_0000,KZ,134000
6100000347,2018,20180928,20180928,companyID_0000,KZ,082900
6100000348,2018,20181026,20181026,companyID_0000,KZ,090400
6100000349,2018,20181129,20181129,companyID_0000,KZ,151600
6100000350,2019,20190104,20190104,companyID_0000,KZ,225900
6100000351,2019,20190110,20190110,companyID_0000,KZ,144600
6100000352,2018,20180222,20180222,companyID_0000,KZ,151800
6100000353,2018,20180322,20180322,companyID_0000,KZ,123200
6100000354,2018,20180426,20180426,companyID_0000,KZ,091600
6100000355,2018,20180524,20180524,companyID_0000,KZ,113600
6100000356,2018,20180628,20180628,companyID_0000,KZ,120600
6100000357,2018,20180726,20180726,companyID_0000,KZ,160900
6100000358,2018,20180830,20180830,companyID_0000,KZ,134000
6100000359,2018,20180928,20180928,companyID_0000,KZ,082900
6100000360,2018,20181101,20181101,companyID_0000,KZ,152700
6100000361,2018,20181129,20181129,companyID_0000,KZ,151600
6100000362,2019,20190103,20190103,companyID_0000,KZ,151200
6100000363,2019,20190110,20190110,companyID_0000,KZ,144600
6100000364,2018,20180222,20180222,companyID_0000,KZ,151800
6100000365,2018,20180322,20180322,companyID_0000,KZ,123200
6100000366,2018,20180426,20180426,companyID_0000,KZ,091600
6100000367,2018,20180524,20180524,companyID_0000,KZ,113600
6100000368,2018,20180628,20180628,companyID_0000,KZ,120600
6100000369,2018,20180726,20180726,companyID_0000,KZ,160900
6100000370,2018,20180816,20180816,companyID_0000,KZ,130300
6100000371,2018,20181004,20181004,companyID_0000,KZ,145000
6100000372,2018,20181026,20181026,companyID_0000,KZ,090400
6100000373,2019,20190110,20190110,companyID_0000,KZ,144600
6100000374,2018,20180222,20180222,companyID_0000,KZ,151800
6100000375,2018,20180322,20180322,companyID_0000,KZ,123200
6100000376,2018,20180509,20180509,companyID_0000,KZ,121200
6100000377,2018,20180518,20180518,companyID_0000,KZ,082900
6100000378,2018,20180703,20180703,companyID_0000,KZ,075400
6100000379,2018,20180705,20180705,companyID_0000,KZ,121300
6100000380,2018,20180726,20180726,companyID_0000,KZ,160900
6100000381,2018,20180816,20180816,companyID_0000,KZ,130300
6100000382,2018,20181105,20181105,companyID_0000,KZ,113300
6100000383,2018,20181207,20181207,companyID_0000,KZ,080900
6100000384,2018,20180222,20180222,companyID_0000,KZ,151800
6100000385,2018,20180329,20180329,companyID_0000,KZ,131100
6100000386,2018,20180426,20180426,companyID_0000,KZ,091600
6100000387,2018,20180524,20180524,companyID_0000,KZ,113600
6100000388,2018,20180628,20180628,companyID_0000,KZ,120600
6100000389,2018,20180726,20180726,companyID_0000,KZ,160900
6100000390,2018,20180816,20180816,companyID_0000,KZ,130300
6100000391,2018,20181004,20181004,companyID_0000,KZ,145000
6100000392,2018,20181026,20181026,companyID_0000,KZ,090400
6100000393,2018,20181129,20181129,companyID_0000,KZ,151600
6100000394,2019,20190104,20190104,companyID_0000,KZ,225900
6100000395,2019,20190110,20190110,companyID_0000,KZ,144600
6100000396,2018,20180329,20180329,companyID_0000,KZ,130600
6100000397,2018,20180308,20180308,companyID_0000,KZ,122000
6100000398,2018,20180329,20180329,companyID_0000,KZ,130700
6100000399,2018,20180308,20180308,companyID_0000,KZ,122000
6100000400,2018,20180308,20180308,companyID_0000,KZ,122000
6100000401,2018,20180405,20180405,companyID_0000,KZ,134800
6100000402,2018,20180420,20180420,companyID_0000,KZ,133000
6100000403,2018,20180426,20180426,companyID_0000,KZ,091400
6100000404,2018,20180329,20180329,companyID_0000,KZ,130600
6100000405,2018,20180329,20180329,companyID_0000,KZ,130600
6100000406,2018,20180329,20180329,companyID_0000,KZ,130600
6100000407,2018,20180322,20180322,companyID_0000,KZ,123000
6100000408,2018,20180308,20180308,companyID_0000,KZ,122200
6100000409,2018,20180509,20180509,companyID_0000,KZ,120900
6100000410,2018,20180705,20180705,companyID_0000,KZ,121300
6100000411,2018,20180308,20180308,companyID_0000,KZ,122100
6100000412,2018,20180308,20180308,companyID_0000,KZ,122100
6100000413,2018,20180329,20180329,companyID_0000,KZ,130600
6100000414,2018,20180329,20180329,companyID_0000,KZ,130600
6100000415,2018,20180329,20180329,companyID_0000,KZ,130600
6100000416,2018,20180223,20180223,companyID_0000,KZ,111400
6100000417,2018,20180329,20180329,companyID_0000,KZ,130600
6100000418,2018,20180308,20180308,companyID_0000,KZ,122100
6100000419,2018,20180308,20180308,companyID_0000,KZ,122100
6100000420,2018,20180405,20180405,companyID_0000,KZ,135100
6100000421,2018,20180426,20180426,companyID_0000,KZ,091600
6100000422,2018,20180222,20180222,companyID_0000,KZ,151700
6100000423,2018,20180329,20180329,companyID_0000,KZ,131000
6100000424,2018,20180412,20180412,companyID_0000,KZ,120700
6100000425,2018,20180329,20180329,companyID_0000,KZ,130600
6100000426,2018,20180329,20180329,companyID_0000,KZ,130600
6100000427,2018,20180329,20180329,companyID_0000,KZ,130600
6100000428,2018,20180315,20180315,companyID_0000,KZ,131300
6100000429,2018,20181105,20181105,companyID_0000,KZ,143200
6100000430,2018,20181129,20181129,companyID_0000,KZ,151500
6100000431,2018,20180222,20180222,companyID_0000,KZ,151700
6100000432,2018,20180222,20180222,companyID_0000,KZ,151700
6100000433,2018,20180222,20180222,companyID_0000,KZ,151700
6100000434,2018,20180308,20180308,companyID_0000,KZ,122100
6100000435,2018,20180222,20180222,companyID_0000,KZ,151800
6100000436,2018,20180329,20180329,companyID_0000,KZ,131000
6100000437,2018,20180426,20180426,companyID_0000,KZ,091500
6100000438,2018,20180426,20180426,companyID_0000,KZ,091500
6100000439,2018,20180524,20180524,companyID_0000,KZ,113600
6100000440,2018,20180628,20180628,companyID_0000,KZ,120500
6100000441,2018,20180705,20180705,companyID_0000,KZ,121300
6100000442,2018,20180709,20180709,companyID_0000,KZ,095700
6100000443,2018,20180712,20180712,companyID_0000,KZ,105500
6100000444,2018,20180726,20180726,companyID_0000,KZ,160900
6100000445,2018,20180726,20180726,companyID_0000,KZ,160900
6100000446,2018,20180802,20180802,companyID_0000,KZ,140700
6100000447,2018,20180816,20180816,companyID_0000,KZ,130300
6100000448,2018,20180830,20180830,companyID_0000,KZ,134000
6100000449,2018,20180903,20180903,companyID_0000,KZ,095300
6100000450,2018,20180906,20180906,companyID_0000,KZ,120800
6100000451,2018,20180928,20180928,companyID_0000,KZ,082900
6100000452,2018,20180928,20180928,companyID_0000,KZ,082900
6100000453,2018,20181004,20181004,companyID_0000,KZ,145000
6100000454,2018,20181011,20181011,companyID_0000,KZ,110300
6100000455,2018,20181026,20181026,companyID_0000,KZ,090300
6100000456,2018,20181105,20181105,companyID_0000,KZ,112800
6100000457,2018,20181105,20181105,companyID_0000,KZ,160000
6100000458,2018,20181106,20181106,companyID_0000,KZ,042400
6100000459,2018,20181106,20181106,companyID_0000,KZ,121100
6100000460,2018,20181107,20181107,companyID_0000,KZ,025500
6100000461,2018,20181121,20181121,companyID_0000,KZ,134700
6100000462,2018,20181121,20181121,companyID_0000,KZ,140300
6100000463,2018,20181129,20181129,companyID_0000,KZ,151600
6100000464,2018,20180426,20180426,companyID_0000,KZ,091600
