CPUDT,MJAHR,MBLNR,CPUTM
20181203,2018,4900000159,152500
20180430,2018,4900000160,153900
20180430,2018,4900000161,154200
20180430,2018,4900000162,154400
20180430,2018,4900000163,154600
20180628,2018,4900000164,115400
20180628,2018,4900000165,120300
20180730,2018,4900000166,225300
20180730,2018,4900000167,225700
20180730,2018,4900000168,230800
20180730,2018,4900000169,231100
20180928,2018,4900000170,093000
20181126,2018,4900000171,011500
20181126,2018,4900000172,011700
20181126,2018,4900000173,011900
20181126,2018,4900000174,012100
20181126,2018,4900000175,012500
20181126,2018,4900000176,014100
20181126,2018,4900000177,014300
20181126,2018,4900000178,014600
20181126,2018,4900000179,014800
20181126,2018,4900000180,020200
20180125,2018,4900000181,001200
20180326,2018,4900000182,075000
20180327,2018,4900000183,092300
20180426,2018,4900000184,103100
20180626,2018,4900000185,205000
20180626,2018,4900000186,213700
20180724,2018,4900000187,121300
20180830,2018,4900000188,115100
20181030,2018,4900000189,162900
20181030,2018,4900000190,163200
20181130,2018,4900000191,094900
20180131,2018,4900000192,101100
20180320,2018,4900000193,114100
20180410,2018,4900000194,133900
20180527,2018,4900000195,192600
20180626,2018,4900000196,211900
20180724,2018,4900000197,140200
20180727,2018,4900000198,113400
20180928,2018,4900000199,064200
20181030,2018,4900000200,152000
20180219,2018,4900000201,082900
20180326,2018,4900000202,075400
20180429,2018,4900000203,220700
20180527,2018,4900000204,214200
20180628,2018,4900000205,125600
20180628,2018,4900000206,125800
20180628,2018,4900000207,130000
20180730,2018,4900000208,231600
20180730,2018,4900000209,231900
20180730,2018,4900000210,232100
20180730,2018,4900000211,232300
20180830,2018,4900000212,160800
20180830,2018,4900000213,161300
20180913,2018,4900000214,084600
20180928,2018,4900000215,090800
20180928,2018,4900000216,091200
20180928,2018,4900000217,091700
20181022,2018,4900000218,142500
20181030,2018,4900000219,143800
20181030,2018,4900000220,144100
20181121,2018,4900000221,113400
20181121,2018,4900000222,113800
20181212,2018,4900000223,110100
20181212,2018,4900000224,110400
20180208,2018,4900000225,070600
20180416,2018,4900000226,134200
20180416,2018,4900000227,134500
20180702,2018,4900000228,144300
20180724,2018,4900000229,073600
20180724,2018,4900000230,073900
20180724,2018,4900000231,102900
20181208,2018,4900000232,173200
20180328,2018,4900000233,115700
20180130,2018,4900000234,082000
20180130,2018,4900000235,082000
20180827,2018,4900000236,112900
20180905,2018,4900000237,130200
20181001,2018,4900000238,134000
20181116,2018,4900000239,123300
20181204,2018,4900000240,075300
20181212,2018,4900000241,121100
20180207,2018,4900000242,090300
20180302,2018,4900000243,121500
20180424,2018,4900000244,115700
20180515,2018,4900000245,052000
20180608,2018,4900000246,061300
20180710,2018,4900000247,113400
20180117,2018,4900000248,093900
20180117,2018,4900000249,093900
20180117,2018,4900000250,093900
20180117,2018,4900000251,134100
20180726,2018,4900000252,133700
20180122,2018,4900000253,122000
20180119,2018,4900000254,090400
20180430,2018,4900000255,132100
20180201,2018,4900000256,132600
20180314,2018,4900000257,082000
20180413,2018,4900000258,083500
20180502,2018,4900000259,062500
20180607,2018,4900000260,140200
20180724,2018,4900000261,101900
20180906,2018,4900000262,135600
20181101,2018,4900000263,163600
20181118,2018,4900000264,092500
20181118,2018,4900000265,094200
20180122,2018,4900000266,072600
20180206,2018,4900000267,075300
20180122,2018,4900000268,114400
20180122,2018,4900000269,114400
20180122,2018,4900000270,114400
20180122,2018,4900000271,114500
20180122,2018,4900000272,114600
20180122,2018,4900000273,114600
20180327,2018,4900000274,130800
20180710,2018,4900000275,111700
20180710,2018,4900000276,112500
20190109,2019,4900000277,140800
20180123,2018,4900000278,115300
20180123,2018,4900000279,115400
20180119,2018,4900000280,075600
20180119,2018,4900000281,111800
20180119,2018,4900000282,111800
20180124,2018,4900000283,103900
20180209,2018,4900000284,095800
20180214,2018,4900000285,134800
20180214,2018,4900000286,135600
20180305,2018,4900000287,142900
20180306,2018,4900000288,085000
20180307,2018,4900000289,123300
20180314,2018,4900000290,082200
20180404,2018,4900000291,135800
20180409,2018,4900000292,113700
20180409,2018,4900000293,114000
20180501,2018,4900000294,083200
20180503,2018,4900000295,081600
20180503,2018,4900000296,081800
20180508,2018,4900000297,071100
20180508,2018,4900000298,071200
20180508,2018,4900000299,072000
20180509,2018,4900000300,065400
20180524,2018,4900000301,115600
20180528,2018,4900000302,094600
20180528,2018,4900000303,094800
20180528,2018,4900000304,095000
20180607,2018,4900000305,113400
20180607,2018,4900000306,114100
20180612,2018,4900000307,142900
20180614,2018,4900000308,150300
20180619,2018,4900000309,142800
20180705,2018,4900000310,080700
20180705,2018,4900000311,081600
20180705,2018,4900000312,081900
20180711,2018,4900000313,103800
20180717,2018,4900000314,113000
20180806,2018,4900000315,150300
20180820,2018,4900000316,112700
20180820,2018,4900000317,113300
20180906,2018,4900000318,074800
20180906,2018,4900000319,075200
20180907,2018,4900000320,080500
20180913,2018,4900000321,135000
20181004,2018,4900000322,072600
20181004,2018,4900000323,113500
20181008,2018,4900000324,075000
20181011,2018,4900000325,070200
20181105,2018,4900000326,081500
20181112,2018,4900000327,102600
20181113,2018,4900000328,075400
20181113,2018,4900000329,083000
20181129,2018,4900000330,105800
20181206,2018,4900000331,091500
20181207,2018,4900000332,071500
20181207,2018,4900000333,071900
20181213,2018,4900000334,075600
20190104,2019,4900000335,095800
20190104,2019,4900000336,100300
20190104,2019,4900000337,100700
20190104,2019,4900000338,112400
20180123,2018,4900000339,134700
20180305,2018,4900000340,095200
20180206,2018,4900000341,153600
20180123,2018,4900000342,141600
20180319,2018,4900000343,125800
20180124,2018,4900000344,150400
20180123,2018,4900000345,115800
20180124,2018,4900000346,150400
20180123,2018,4900000347,115800
20180213,2018,4900000348,105800
20180313,2018,4900000349,133100
20180404,2018,4900000350,103500
20180514,2018,4900000351,090900
20180608,2018,4900000352,142700
20180709,2018,4900000353,160100
20180731,2018,4900000354,102600
20180912,2018,4900000355,210300
20181010,2018,4900000356,210100
20181114,2018,4900000357,220300
20181210,2018,4900000358,225800
20181219,2018,4900000359,161300
20180212,2018,4900000360,130700
20180313,2018,4900000361,125900
20180404,2018,4900000362,101800
20180514,2018,4900000363,085100
20180604,2018,4900000364,225500
20180709,2018,4900000365,144900
20180731,2018,4900000366,110800
20180912,2018,4900000367,152900
20181010,2018,4900000368,213000
20181114,2018,4900000369,220900
20181210,2018,4900000370,221800
20181219,2018,4900000371,154100
20180213,2018,4900000372,095900
20180314,2018,4900000373,101700
20180404,2018,4900000374,114300
20180517,2018,4900000375,073000
20180609,2018,4900000376,002500
20180709,2018,4900000377,161000
20180927,2018,4900000378,123700
20180927,2018,4900000379,123900
20181010,2018,4900000380,211800
20181107,2018,4900000381,224900
20181212,2018,4900000382,100900
20181219,2018,4900000383,162100
20180213,2018,4900000384,100300
20180314,2018,4900000385,103000
20180404,2018,4900000386,115100
20180517,2018,4900000387,073400
20180606,2018,4900000388,233000
20180719,2018,4900000389,093800
20180824,2018,4900000390,103500
20180912,2018,4900000391,212200
20181010,2018,4900000392,212300
20181107,2018,4900000393,224100
20181212,2018,4900000394,101200
20181219,2018,4900000395,162400
20180213,2018,4900000396,111800
20180314,2018,4900000397,083900
20180406,2018,4900000398,065100
20180514,2018,4900000399,110300
20180607,2018,4900000400,000000
20180709,2018,4900000401,153200
20180731,2018,4900000402,104200
20180912,2018,4900000403,211100
20181010,2018,4900000404,211600
20181107,2018,4900000405,223400
20181210,2018,4900000406,222100
20181219,2018,4900000407,154600
20180213,2018,4900000408,104700
20180314,2018,4900000409,103700
20180404,2018,4900000410,120400
20180514,2018,4900000411,095300
20180605,2018,4900000412,001200
20180719,2018,4900000413,094000
20180731,2018,4900000414,110000
20180912,2018,4900000415,152500
20181010,2018,4900000416,210500
20181107,2018,4900000417,222100
20181210,2018,4900000418,224000
20181219,2018,4900000419,160000
20180212,2018,4900000420,131200
20180314,2018,4900000421,082900
20180404,2018,4900000422,112700
20180514,2018,4900000423,094800
20180605,2018,4900000424,000500
20180709,2018,4900000425,150800
20180731,2018,4900000426,104800
20180912,2018,4900000427,151200
20181010,2018,4900000428,211300
20181107,2018,4900000429,223100
20181210,2018,4900000430,222500
20181219,2018,4900000431,154900
20180213,2018,4900000432,112600
20180313,2018,4900000433,130700
20180503,2018,4900000434,115700
20180517,2018,4900000435,065700
20180609,2018,4900000436,001300
20180709,2018,4900000437,155600
20180912,2018,4900000438,215600
20180913,2018,4900000439,073600
20181010,2018,4900000440,214000
20181204,2018,4900000441,102800
20181210,2018,4900000442,230500
20190108,2019,4900000443,121900
20180213,2018,4900000444,111300
20180314,2018,4900000445,083500
20180406,2018,4900000446,064500
20180514,2018,4900000447,105800
20180608,2018,4900000448,235300
20180709,2018,4900000449,155800
20180731,2018,4900000450,105000
20180912,2018,4900000451,211800
20181010,2018,4900000452,205000
20181107,2018,4900000453,221800
20181210,2018,4900000454,224200
20181219,2018,4900000455,160200
20180212,2018,4900000456,134000
20180314,2018,4900000457,082500
20180404,2018,4900000458,112100
20180514,2018,4900000459,094500
20180604,2018,4900000460,235900
20180709,2018,4900000461,150400
20180731,2018,4900000462,110600
20180912,2018,4900000463,153400
20181019,2018,4900000464,131700
20181114,2018,4900000465,215600
20181210,2018,4900000466,230100
20181219,2018,4900000467,161600
20180213,2018,4900000468,113300
20180313,2018,4900000469,131800
20180406,2018,4900000470,065700
20180514,2018,4900000471,110600
20180608,2018,4900000472,235900
20180709,2018,4900000473,153500
20180731,2018,4900000474,103900
20180912,2018,4900000475,211500
20181010,2018,4900000476,205800
20181107,2018,4900000477,222900
20181210,2018,4900000478,232700
20181219,2018,4900000479,162600
20180213,2018,4900000480,095200
20180314,2018,4900000481,091100
20180404,2018,4900000482,113600
20180517,2018,4900000483,072600
20180609,2018,4900000484,001900
20180719,2018,4900000485,093000
20180824,2018,4900000486,103900
20180912,2018,4900000487,210600
20181010,2018,4900000488,205400
20181107,2018,4900000489,225200
20181212,2018,4900000490,100600
20181219,2018,4900000491,161900
20180213,2018,4900000492,100600
20180314,2018,4900000493,103300
20180404,2018,4900000494,121000
20180514,2018,4900000495,101200
20180605,2018,4900000496,003600
20180719,2018,4900000497,093400
20180824,2018,4900000498,115400
20180906,2018,4900000499,115300
20181019,2018,4900000500,131400
20181107,2018,4900000501,221400
20181210,2018,4900000502,225100
20181210,2018,4900000503,231600
20181219,2018,4900000504,160900
20180212,2018,4900000505,131700
20180313,2018,4900000506,133600
20180404,2018,4900000507,122400
20180514,2018,4900000508,091300
20180604,2018,4900000509,235400
20180709,2018,4900000510,145900
20180731,2018,4900000511,110400
20180927,2018,4900000512,125200
20181010,2018,4900000513,210800
20181219,2018,4900000514,155600
20180213,2018,4900000515,110800
20180314,2018,4900000516,090400
20180411,2018,4900000517,070200
20180514,2018,4900000518,111000
20180606,2018,4900000519,222900
20180709,2018,4900000520,153800
20180731,2018,4900000521,103600
20181116,2018,4900000522,151700
20180213,2018,4900000523,105500
20180313,2018,4900000524,131100
20180404,2018,4900000525,121500
20180514,2018,4900000526,105300
20180605,2018,4900000527,004100
20180709,2018,4900000528,152800
20180731,2018,4900000529,104500
20180927,2018,4900000530,125400
20181010,2018,4900000531,212800
20181107,2018,4900000532,222600
20181210,2018,4900000533,222900
20181219,2018,4900000534,155300
20180131,2018,4900000535,084000
20180124,2018,4900000536,145900
20180129,2018,4900000537,131200
20180131,2018,4900000538,100300
20180131,2018,4900000539,100300
20180126,2018,4900000540,114200
20180201,2018,4900000541,091200
20180213,2018,4900000542,091800
20180129,2018,4900000543,131300
20180125,2018,4900000544,094600
20180125,2018,4900000545,094600
20180130,2018,4900000546,155900
20180131,2018,4900000547,150100
20180321,2018,4900000548,130300
20180529,2018,4900000549,134500
20181219,2018,4900000550,084400
20190108,2019,4900000551,123500
20180130,2018,4900000552,094800
20180130,2018,4900000553,094800
20180130,2018,4900000554,094900
20180130,2018,4900000555,094900
20180130,2018,4900000556,094900
20180215,2018,4900000557,121200
20180130,2018,4900000558,075500
20180130,2018,4900000559,075600
20180130,2018,4900000560,075600
20180320,2018,4900000561,111000
20180316,2018,4900000562,120800
20180131,2018,4900000563,082800
20180306,2018,4900000564,123800
20180201,2018,4900000565,141700
20180403,2018,4900000566,095700
20180130,2018,4900000567,075400
20180212,2018,4900000568,081100
20180130,2018,4900000569,160000
20180226,2018,4900000570,110600
20180129,2018,4900000571,091000
20180129,2018,4900000572,091000
20180129,2018,4900000573,091000
20180201,2018,4900000574,125700
20180216,2018,4900000575,152000
20180216,2018,4900000576,152300
20180216,2018,4900000577,152600
20180216,2018,4900000578,152900
20180216,2018,4900000579,153200
20180216,2018,4900000580,153500
20180216,2018,4900000581,153700
20180216,2018,4900000582,154000
20180216,2018,4900000583,154300
20180216,2018,4900000584,155300
20180327,2018,4900000585,122000
20180429,2018,4900000586,164600
20180429,2018,4900000587,164900
20180429,2018,4900000588,165200
20180429,2018,4900000589,165500
20180429,2018,4900000590,165800
20180429,2018,4900000591,211600
20180429,2018,4900000592,211900
20180430,2018,4900000593,091100
20180430,2018,4900000594,091400
20180527,2018,4900000595,195100
20180527,2018,4900000596,195400
20180527,2018,4900000597,195700
20180527,2018,4900000598,195900
20180527,2018,4900000599,200200
20180527,2018,4900000600,200400
20180527,2018,4900000601,205200
20180527,2018,4900000602,205600
20180527,2018,4900000603,205800
20180527,2018,4900000604,210100
20180527,2018,4900000605,210400
20180626,2018,4900000606,230300
20180626,2018,4900000607,230700
20180626,2018,4900000608,231000
20180626,2018,4900000609,231200
20180626,2018,4900000610,231500
20180626,2018,4900000611,231800
20180626,2018,4900000612,232000
20180626,2018,4900000613,233100
20180626,2018,4900000614,233400
20180626,2018,4900000615,233600
20180626,2018,4900000616,233800
20180626,2018,4900000617,234600
20180628,2018,4900000618,112700
20180724,2018,4900000619,131900
20180724,2018,4900000620,132300
20180724,2018,4900000621,132600
20180724,2018,4900000622,132900
20180724,2018,4900000623,133100
20180724,2018,4900000624,133400
20180724,2018,4900000625,133700
20180724,2018,4900000626,134000
20180727,2018,4900000627,111800
20180827,2018,4900000628,103900
20180827,2018,4900000629,105000
20180830,2018,4900000630,120100
20180830,2018,4900000631,151000
20180830,2018,4900000632,151400
20180830,2018,4900000633,151800
20180830,2018,4900000634,152100
20180830,2018,4900000635,152400
20180830,2018,4900000636,152800
20180830,2018,4900000637,153100
20180830,2018,4900000638,153500
20180830,2018,4900000639,153800
20180830,2018,4900000640,154200
20180830,2018,4900000641,155100
20180830,2018,4900000642,155700
20180928,2018,4900000643,071200
20180928,2018,4900000644,072100
20180928,2018,4900000645,072500
20180928,2018,4900000646,073100
20180928,2018,4900000647,073600
20180928,2018,4900000648,074000
20180928,2018,4900000649,075400
20180928,2018,4900000650,075900
20180928,2018,4900000651,080300
20180928,2018,4900000652,080900
20180928,2018,4900000653,081300
20181030,2018,4900000654,164000
20181030,2018,4900000655,164400
20181030,2018,4900000656,164800
20181030,2018,4900000657,165200
20181030,2018,4900000658,165600
20181030,2018,4900000659,170000
20181030,2018,4900000660,170400
20181030,2018,4900000661,170800
20181030,2018,4900000662,171200
20181030,2018,4900000663,171600
20181030,2018,4900000664,172000
20181030,2018,4900000665,172400
20181030,2018,4900000666,172800
20181127,2018,4900000667,011300
20181127,2018,4900000668,011800
20181127,2018,4900000669,012300
20181127,2018,4900000670,013000
20181127,2018,4900000671,014200
20181127,2018,4900000672,015600
20181127,2018,4900000673,020300
20181127,2018,4900000674,021000
20181127,2018,4900000675,022100
20181127,2018,4900000676,022800
20181127,2018,4900000677,232500
20181127,2018,4900000678,233600
20181127,2018,4900000679,233900
20181127,2018,4900000680,234400
20181217,2018,4900000681,130900
20181217,2018,4900000682,131900
20181217,2018,4900000683,132700
20181217,2018,4900000684,133200
20181217,2018,4900000685,133700
20181217,2018,4900000686,134400
20181217,2018,4900000687,135000
20181217,2018,4900000688,135900
20181217,2018,4900000689,140300
20181217,2018,4900000690,155600
20181217,2018,4900000691,160700
20180211,2018,4900000692,080400
20180213,2018,4900000693,085600
20180609,2018,4900000694,052400
20180711,2018,4900000695,052500
20180729,2018,4900000696,084100
20181011,2018,4900000697,064400
20180205,2018,4900000698,141100
20180207,2018,4900000699,084500
20180130,2018,4900000700,131300
20180216,2018,4900000701,062100
20180221,2018,4900000702,102600
20180130,2018,4900000703,131200
20180209,2018,4900000704,081700
20180205,2018,4900000705,103600
20180205,2018,4900000706,104700
20180306,2018,4900000707,065400
20180406,2018,4900000708,122300
20180919,2018,4900000709,100400
20181218,2018,4900000710,102700
20181218,2018,4900000711,103000
20181218,2018,4900000712,103200
20180301,2018,4900000713,102700
20180429,2018,4900000714,212600
20180624,2018,4900000715,235100
20180205,2018,4900000716,091400
20180206,2018,4900000717,090400
20180206,2018,4900000718,090400
20180206,2018,4900000719,090400
20180206,2018,4900000720,090400
20180206,2018,4900000721,090400
20180206,2018,4900000722,090400
20180207,2018,4900000723,125700
20180328,2018,4900000724,103700
20180328,2018,4900000725,104100
20180321,2018,4900000726,155700
20180321,2018,4900000727,155700
20180321,2018,4900000728,155700
20180321,2018,4900000729,155700
20180321,2018,4900000730,155700
20180321,2018,4900000731,155700
20180321,2018,4900000732,155700
20180321,2018,4900000733,155700
20180321,2018,4900000734,155700
20180321,2018,4900000735,155700
20180321,2018,4900000736,155700
20180330,2018,4900000737,135700
20180618,2018,4900000738,095800
20180724,2018,4900000739,101500
20180206,2018,4900000740,075800
20180312,2018,4900000741,091300
20180206,2018,4900000742,075800
20180206,2018,4900000743,075800
20180205,2018,4900000744,085300
20180205,2018,4900000745,085100
20180205,2018,4900000746,085100
20180206,2018,4900000747,130300
20180206,2018,4900000748,075700
20180214,2018,4900000749,084100
20180214,2018,4900000750,084100
20180214,2018,4900000751,084100
20180206,2018,4900000752,153700
20180327,2018,4900000753,072200
20180307,2018,4900000754,155700
20180213,2018,4900000755,122500
20180213,2018,4900000756,122500
20180223,2018,4900000757,075900
20180305,2018,4900000758,131400
20180223,2018,4900000759,075900
20180213,2018,4900000760,103000
20180212,2018,4900000761,081200
20180214,2018,4900000762,075800
20180320,2018,4900000763,080800
20180320,2018,4900000764,080800
20180926,2018,4900000765,125000
20180212,2018,4900000766,081000
20180417,2018,4900000767,060900
20180212,2018,4900000768,081000
20180226,2018,4900000769,084000
20180213,2018,4900000770,110600
20180213,2018,4900000771,110600
20180213,2018,4900000772,110600
20180215,2018,4900000773,101700
20180215,2018,4900000774,101700
20180213,2018,4900000775,111600
20180430,2018,4900000776,112200
20180213,2018,4900000777,095700
20180213,2018,4900000778,095700
20180213,2018,4900000779,095600
20180305,2018,4900000780,085500
20180212,2018,4900000781,160300
20180213,2018,4900000782,095500
20180213,2018,4900000783,095900
20180226,2018,4900000784,100200
20180226,2018,4900000785,100200
20180226,2018,4900000786,100200
20180226,2018,4900000787,100200
20180226,2018,4900000788,100200
20180226,2018,4900000789,100200
20180226,2018,4900000790,100200
20180226,2018,4900000791,100200
20180226,2018,4900000792,100200
20180223,2018,4900000793,110400
20180306,2018,4900000794,065300
20180306,2018,4900000795,065300
20180306,2018,4900000796,065300
20180306,2018,4900000797,065300
20180306,2018,4900000798,065100
20180306,2018,4900000799,065100
20180306,2018,4900000800,065100
20180306,2018,4900000801,065100
20180306,2018,4900000802,065100
20180306,2018,4900000803,065100
20180306,2018,4900000804,065100
20180306,2018,4900000805,065100
20180306,2018,4900000806,065100
20180306,2018,4900000807,065100
20180212,2018,4900000808,110800
20180215,2018,4900000809,102000
20180220,2018,4900000810,143600
20180212,2018,4900000811,151300
20180219,2018,4900000812,112800
20180212,2018,4900000813,151300
20180219,2018,4900000814,112800
20180212,2018,4900000815,151300
20180219,2018,4900000816,112800
20180212,2018,4900000817,151300
20180219,2018,4900000818,112800
20180213,2018,4900000819,094000
20180222,2018,4900000820,083500
20180320,2018,4900000821,080600
20180320,2018,4900000822,080600
20180322,2018,4900000823,102900
20180220,2018,4900000824,104400
20180220,2018,4900000825,104400
20180724,2018,4900000826,053900
20180306,2018,4900000827,071300
20180226,2018,4900000828,083300
20180226,2018,4900000829,083600
20180220,2018,4900000830,122800
20180220,2018,4900000831,122800
20180220,2018,4900000832,122800
20180221,2018,4900000833,120300
20180221,2018,4900000834,120300
20180221,2018,4900000835,120300
20180221,2018,4900000836,120300
20180221,2018,4900000837,120300
20180420,2018,4900000838,075300
20180411,2018,4900000839,094400
20180228,2018,4900000840,161000
20180228,2018,4900000841,161000
20180223,2018,4900000842,093900
20180223,2018,4900000843,093900
20180223,2018,4900000844,093900
20180223,2018,4900000845,093900
20180227,2018,4900000846,125300
20180227,2018,4900000847,125300
20180223,2018,4900000848,112400
20180223,2018,4900000849,112400
20180223,2018,4900000850,094000
20180223,2018,4900000851,094000
20180228,2018,4900000852,102500
20180326,2018,4900000853,150700
20180326,2018,4900000854,150700
20180328,2018,4900000855,091800
20180222,2018,4900000856,144800
20180625,2018,4900000857,120700
20180222,2018,4900000858,145200
20180223,2018,4900000859,124800
20180223,2018,4900000860,124800
20180223,2018,4900000861,124800
20180222,2018,4900000862,144900
20180326,2018,4900000863,141500
20180221,2018,4900000864,120100
20180226,2018,4900000865,083700
20180516,2018,4900000866,083400
20180618,2018,4900000867,095300
20180724,2018,4900000868,075100
20181003,2018,4900000869,110800
20181008,2018,4900000870,150300
20181118,2018,4900000871,093400
20181118,2018,4900000872,104400
20180417,2018,4900000873,071400
20180228,2018,4900000874,101100
20180227,2018,4900000875,095700
20180228,2018,4900000876,102700
20180227,2018,4900000877,104700
20180226,2018,4900000878,085400
20180226,2018,4900000879,104700
20180328,2018,4900000880,104700
20180227,2018,4900000881,152200
20180228,2018,4900000882,122000
20180302,2018,4900000883,104800
20180302,2018,4900000884,104800
