CHNGIND,CHANGENR,VALUE_NEW,TABNAME,FNAME
U,0000000147,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000148,00001,EKPO,EBELP
U,0000000149,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000150,SRM: Transfer Failed (E.Sys.),EBAN,SRM_STATUS
U,0000000151,SRM: Created,EBAN,SRM_STATUS
U,0000000152,SRM: Complete,EBAN,SRM_STATUS
U,0000000153,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000154,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000155,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000156,SRM: Ordered,EBAN,SRM_STATUS
U,0000000157,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000158,00001,EKPO,EBELP
U,0000000159,SRM: Created,EBAN,SRM_STATUS
U,0000000160,SRM: Complete,EBAN,SRM_STATUS
U,0000000161,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000162,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000163,SRM: Ordered,EBAN,SRM_STATUS
U,0000000164,SRM: Change was Transmitted,EBAN,SRM_STATUS
U,0000000165,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
I,0000000166,00001,EKPO,EBELP
U,0000000167,SRM: Created,EBAN,SRM_STATUS
U,0000000168,SRM: Complete,EBAN,SRM_STATUS
U,0000000169,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000170,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000171,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000172,SRM: Ordered,EBAN,SRM_STATUS
U,0000000173,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000174,00001,EKPO,EBELP
U,0000000175,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000176,SRM: Transfer Failed (E.Sys.),EBAN,SRM_STATUS
U,0000000177,SRM: Created,EBAN,SRM_STATUS
U,0000000178,SRM: Complete,EBAN,SRM_STATUS
U,0000000179,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000180,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000181,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000182,SRM: Ordered,EBAN,SRM_STATUS
U,0000000183,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000184,00001,EKPO,EBELP
U,0000000185,Vendor creates debit memo,EKPO,UNMAPPED_ACTIVITY
U,0000000186,Cancel Invoice Receipt,EKPO,UNMAPPED_ACTIVITY
U,0000000187,SRM: Created,EBAN,SRM_STATUS
U,0000000188,SRM: Complete,EBAN,SRM_STATUS
U,0000000189,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000190,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000191,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000192,SRM: Ordered,EBAN,SRM_STATUS
U,0000000193,SRM: Deleted,EBAN,SRM_STATUS
U,0000000194,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000195,Remove Payment Block,EKPO,UNMAPPED_ACTIVITY
U,0000000196,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000197,SRM: Transfer Failed (E.Sys.),EBAN,SRM_STATUS
U,0000000198,SRM: Created,EBAN,SRM_STATUS
U,0000000199,SRM: Complete,EBAN,SRM_STATUS
U,0000000200,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000201,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000202,SRM: Ordered,EBAN,SRM_STATUS
U,0000000203,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000204,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000205,00001,EKPO,EBELP
U,0000000206,Vendor creates debit memo,EKPO,UNMAPPED_ACTIVITY
U,0000000207,SRM: Created,EBAN,SRM_STATUS
U,0000000208,SRM: Complete,EBAN,SRM_STATUS
U,0000000209,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000210,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000211,SRM: Ordered,EBAN,SRM_STATUS
U,0000000212,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000213,SRM: Deleted,EBAN,SRM_STATUS
U,0000000214,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000215,SRM: Created,EBAN,SRM_STATUS
U,0000000216,SRM: Complete,EBAN,SRM_STATUS
U,0000000217,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000218,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000219,SRM: Ordered,EBAN,SRM_STATUS
U,0000000220,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000221,SRM: Deleted,EBAN,SRM_STATUS
U,0000000222,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000223,Cancel Invoice Receipt,EKPO,UNMAPPED_ACTIVITY
U,0000000224,SRM: Created,EBAN,SRM_STATUS
U,0000000225,SRM: Complete,EBAN,SRM_STATUS
U,0000000226,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000227,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000228,SRM: Ordered,EBAN,SRM_STATUS
U,0000000229,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000230,SRM: Deleted,EBAN,SRM_STATUS
U,0000000231,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000232,Remove Payment Block,EKPO,UNMAPPED_ACTIVITY
U,0000000233,SRM: Created,EBAN,SRM_STATUS
U,0000000234,SRM: Complete,EBAN,SRM_STATUS
U,0000000235,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000236,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000237,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000238,SRM: Ordered,EBAN,SRM_STATUS
I,0000000239,00001,EKPO,EBELP
U,0000000240,SRM: Change was Transmitted,EBAN,SRM_STATUS
U,0000000241,Vendor creates debit memo,EKPO,UNMAPPED_ACTIVITY
U,0000000242,SRM: Created,EBAN,SRM_STATUS
U,0000000243,SRM: Complete,EBAN,SRM_STATUS
U,0000000244,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000245,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000246,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000247,SRM: Ordered,EBAN,SRM_STATUS
U,0000000248,SRM: Deleted,EBAN,SRM_STATUS
U,0000000249,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000250,SRM: Created,EBAN,SRM_STATUS
U,0000000251,SRM: Complete,EBAN,SRM_STATUS
U,0000000252,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000253,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000254,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000255,SRM: Ordered,EBAN,SRM_STATUS
U,0000000256,SRM: Deleted,EBAN,SRM_STATUS
U,0000000257,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000258,Cancel Invoice Receipt,EKPO,UNMAPPED_ACTIVITY
U,0000000259,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000260,SRM: Transfer Failed (E.Sys.),EBAN,SRM_STATUS
U,0000000261,SRM: Created,EBAN,SRM_STATUS
U,0000000262,SRM: Complete,EBAN,SRM_STATUS
U,0000000263,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000264,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000265,SRM: Ordered,EBAN,SRM_STATUS
U,0000000266,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000267,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000268,00001,EKPO,EBELP
U,0000000269,Vendor creates debit memo,EKPO,UNMAPPED_ACTIVITY
U,0000000270,Cancel Invoice Receipt,EKPO,UNMAPPED_ACTIVITY
U,0000000271,SRM: Created,EBAN,SRM_STATUS
U,0000000272,SRM: Complete,EBAN,SRM_STATUS
U,0000000273,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000274,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000275,SRM: Ordered,EBAN,SRM_STATUS
U,0000000276,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000277,SRM: Deleted,EBAN,SRM_STATUS
U,0000000278,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000279,SRM: Created,EBAN,SRM_STATUS
U,0000000280,SRM: Complete,EBAN,SRM_STATUS
U,0000000281,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000282,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000283,SRM: Ordered,EBAN,SRM_STATUS
U,0000000284,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000285,SRM: Deleted,EBAN,SRM_STATUS
U,0000000286,SRM: Created,EBAN,SRM_STATUS
U,0000000287,SRM: Complete,EBAN,SRM_STATUS
U,0000000288,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000289,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000290,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000291,SRM: Ordered,EBAN,SRM_STATUS
U,0000000292,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000293,00001,EKPO,EBELP
U,0000000294,SRM: Created,EBAN,SRM_STATUS
U,0000000295,SRM: Complete,EBAN,SRM_STATUS
U,0000000296,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000297,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000298,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000299,SRM: Ordered,EBAN,SRM_STATUS
U,0000000300,SRM: Deleted,EBAN,SRM_STATUS
U,0000000301,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000302,Cancel Goods Receipt,EKPO,UNMAPPED_ACTIVITY
U,0000000303,SRM: Created,EBAN,SRM_STATUS
U,0000000304,SRM: Complete,EBAN,SRM_STATUS
U,0000000305,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000306,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000307,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000308,SRM: Ordered,EBAN,SRM_STATUS
U,0000000309,SRM: Deleted,EBAN,SRM_STATUS
U,0000000310,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000311,SRM: Transfer Failed (E.Sys.),EBAN,SRM_STATUS
U,0000000312,SRM: Created,EBAN,SRM_STATUS
U,0000000313,SRM: Complete,EBAN,SRM_STATUS
U,0000000314,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000315,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000316,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000317,SRM: Ordered,EBAN,SRM_STATUS
U,0000000318,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000319,00001,EKPO,EBELP
U,0000000320,SRM: Created,EBAN,SRM_STATUS
U,0000000321,SRM: Complete,EBAN,SRM_STATUS
U,0000000322,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000323,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000324,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000325,SRM: Ordered,EBAN,SRM_STATUS
U,0000000326,SRM: Deleted,EBAN,SRM_STATUS
U,0000000327,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000328,SRM: Created,EBAN,SRM_STATUS
U,0000000329,SRM: Complete,EBAN,SRM_STATUS
U,0000000330,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000331,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000332,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000333,SRM: Ordered,EBAN,SRM_STATUS
U,0000000334,SRM: Deleted,EBAN,SRM_STATUS
U,0000000335,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000336,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000337,SRM: Transfer Failed (E.Sys.),EBAN,SRM_STATUS
U,0000000338,SRM: Created,EBAN,SRM_STATUS
U,0000000339,SRM: Complete,EBAN,SRM_STATUS
U,0000000340,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000341,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000342,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000343,SRM: Ordered,EBAN,SRM_STATUS
U,0000000344,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000345,00001,EKPO,EBELP
U,0000000346,SRM: Created,EBAN,SRM_STATUS
U,0000000347,SRM: Complete,EBAN,SRM_STATUS
U,0000000348,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000349,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000350,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000351,SRM: Ordered,EBAN,SRM_STATUS
U,0000000352,SRM: Deleted,EBAN,SRM_STATUS
U,0000000353,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000354,SRM: Created,EBAN,SRM_STATUS
U,0000000355,SRM: Complete,EBAN,SRM_STATUS
U,0000000356,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000357,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000358,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000359,SRM: Ordered,EBAN,SRM_STATUS
I,0000000360,00001,EKPO,EBELP
U,0000000361,SRM: Change was Transmitted,EBAN,SRM_STATUS
U,0000000362,SRM: Created,EBAN,SRM_STATUS
U,0000000363,SRM: Complete,EBAN,SRM_STATUS
U,0000000364,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000365,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000366,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000367,SRM: Ordered,EBAN,SRM_STATUS
U,0000000368,SRM: Deleted,EBAN,SRM_STATUS
U,0000000369,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000370,SRM: Created,EBAN,SRM_STATUS
U,0000000371,SRM: Complete,EBAN,SRM_STATUS
U,0000000372,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000373,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000374,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000375,SRM: Ordered,EBAN,SRM_STATUS
U,0000000376,SRM: Deleted,EBAN,SRM_STATUS
U,0000000377,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000378,SRM: Created,EBAN,SRM_STATUS
U,0000000379,SRM: Complete,EBAN,SRM_STATUS
U,0000000380,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000381,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000382,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000383,SRM: Ordered,EBAN,SRM_STATUS
U,0000000384,SRM: Deleted,EBAN,SRM_STATUS
U,0000000385,Change Price,EKPO,UNMAPPED_ACTIVITY
U,0000000386,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000387,SRM: Transfer Failed (E.Sys.),EBAN,SRM_STATUS
U,0000000388,SRM: Created,EBAN,SRM_STATUS
U,0000000389,SRM: Complete,EBAN,SRM_STATUS
U,0000000390,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000391,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000392,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000393,SRM: Ordered,EBAN,SRM_STATUS
U,0000000394,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000395,00001,EKPO,EBELP
U,0000000396,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000397,SRM: Created,EBAN,SRM_STATUS
U,0000000398,SRM: Complete,EBAN,SRM_STATUS
U,0000000399,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000400,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000401,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000402,SRM: Ordered,EBAN,SRM_STATUS
U,0000000403,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000404,00001,EKPO,EBELP
U,0000000405,SRM: Created,EBAN,SRM_STATUS
U,0000000406,SRM: Complete,EBAN,SRM_STATUS
U,0000000407,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000408,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000409,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000410,SRM: Ordered,EBAN,SRM_STATUS
U,0000000411,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000412,00001,EKPO,EBELP
U,0000000413,SRM: Created,EBAN,SRM_STATUS
U,0000000414,SRM: Complete,EBAN,SRM_STATUS
U,0000000415,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000416,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000417,SRM: Ordered,EBAN,SRM_STATUS
U,0000000418,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000419,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000420,00001,EKPO,EBELP
U,0000000421,SRM: Created,EBAN,SRM_STATUS
U,0000000422,SRM: Complete,EBAN,SRM_STATUS
U,0000000423,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000424,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000425,SRM: Ordered,EBAN,SRM_STATUS
U,0000000426,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000427,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000428,00002,EKPO,EBELP
U,0000000429,SRM: Created,EBAN,SRM_STATUS
U,0000000430,SRM: Complete,EBAN,SRM_STATUS
U,0000000431,SRM: Awaiting Approval,EBAN,SRM_STATUS
U,0000000432,SRM: Document Completed,EBAN,SRM_STATUS
U,0000000433,SRM: In Transfer to Execution Syst.,EBAN,SRM_STATUS
U,0000000434,SRM: Ordered,EBAN,SRM_STATUS
U,0000000435,SRM: Change was Transmitted,EBAN,SRM_STATUS
I,0000000436,00001,EKPO,EBELP
U,0000000437,SRM: Created,EBAN,SRM_STATUS
U,0000000438,SRM: Complete,EBAN,SRM_STATUS
