EBELN,BUKRS,LIFNR,BSART
2000000088,companyID_0000,vendorID_0043,ECP
2000000089,companyID_0000,vendorID_0047,ECP
2000000090,companyID_0000,vendorID_0048,ECP
2000000091,companyID_0000,vendorID_0049,ECP
2000000092,companyID_0000,vendorID_0050,ECP
2000000093,companyID_0000,vendorID_0051,ECP
2000000094,companyID_0000,vendorID_0027,ECP
2000000095,companyID_0000,vendorID_0000,ECP
2000000096,companyID_0000,vendorID_0027,ECP
2000000097,companyID_0000,vendorID_0052,ECP
2000000098,companyID_0000,vendorID_0048,ECP
2000000099,companyID_0000,vendorID_0003,ECP
2000000100,companyID_0000,vendorID_0053,ECP
2000000101,companyID_0000,vendorID_0054,ECP
2000000102,companyID_0000,vendorID_0019,ECP
2000000103,companyID_0000,vendorID_0028,ECP
2000000104,companyID_0000,vendorID_0029,ECP
2000000105,companyID_0000,vendorID_0055,ECP
2000000106,companyID_0000,vendorID_0056,ECP
2000000107,companyID_0000,vendorID_0057,ECP
2000000108,companyID_0000,vendorID_0058,ECP
2000000109,companyID_0000,vendorID_0059,ECP
2000000110,companyID_0000,vendorID_0060,ECP
2000000111,companyID_0000,vendorID_0061,ECP
2000000112,companyID_0000,vendorID_0029,ECP
2000000113,companyID_0000,vendorID_0062,ECP
2000000114,companyID_0000,vendorID_0063,ECP
2000000115,companyID_0000,vendorID_0009,ECP
2000000116,companyID_0000,vendorID_0064,ECP
2000000117,companyID_0000,vendorID_0003,ECP
2000000118,companyID_0000,vendorID_0000,ECP
2000000119,companyID_0000,vendorID_0065,ECP
2000000120,companyID_0000,vendorID_0066,ECP
2000000121,companyID_0000,vendorID_0003,ECP
2000000122,companyID_0000,vendorID_0019,ECP
2000000123,companyID_0000,vendorID_0027,ECP
2000000124,companyID_0000,vendorID_0029,ECP
2000000125,companyID_0000,vendorID_0000,ECP
2000000126,companyID_0000,vendorID_0048,ECP
2000000127,companyID_0000,vendorID_0028,ECP
2000000128,companyID_0000,vendorID_0067,ECP
2000000129,companyID_0000,vendorID_0007,ECP
2000000130,companyID_0000,vendorID_0027,ECP
2000000131,companyID_0000,vendorID_0068,ECP
2000000132,companyID_0000,vendorID_0012,ECP
2000000133,companyID_0000,vendorID_0011,ECP
2000000134,companyID_0000,vendorID_0064,ECP
2000000135,companyID_0000,vendorID_0069,ECP
2000000136,companyID_0000,vendorID_0070,ECP
2000000137,companyID_0000,vendorID_0029,ECP
2000000138,companyID_0000,vendorID_0071,ECP
2000000139,companyID_0000,vendorID_0072,ECP
2000000140,companyID_0000,vendorID_0048,ECP
2000000141,companyID_0000,vendorID_0028,ECP
2000000142,companyID_0000,vendorID_0000,ECP
2000000143,companyID_0000,vendorID_0073,ECP
2000000144,companyID_0000,vendorID_0027,ECP
2000000145,companyID_0000,vendorID_0027,ECP
2000000146,companyID_0000,vendorID_0074,ECP
2000000147,companyID_0000,vendorID_0075,ECP
2000000148,companyID_0000,vendorID_0028,ECP
2000000149,companyID_0000,vendorID_0029,ECP
2000000150,companyID_0000,vendorID_0003,ECP
2000000151,companyID_0000,vendorID_0076,ECP
2000000152,companyID_0000,vendorID_0077,ECP
2000000153,companyID_0000,vendorID_0000,ECP
2000000154,companyID_0000,vendorID_0078,ECP
2000000155,companyID_0000,vendorID_0079,ECP
2000000156,companyID_0000,vendorID_0080,ECP
2000000157,companyID_0000,vendorID_0081,ECP
2000000158,companyID_0000,vendorID_0082,ECP
2000000159,companyID_0000,vendorID_0083,ECP
2000000160,companyID_0000,vendorID_0003,ECP
2000000161,companyID_0000,vendorID_0084,ECP
2000000162,companyID_0000,vendorID_0003,ECP
2000000163,companyID_0000,vendorID_0085,ECP
2000000164,companyID_0000,vendorID_0086,ECP
2000000165,companyID_0000,vendorID_0048,ECP
2000000166,companyID_0000,vendorID_0048,ECP
2000000167,companyID_0000,vendorID_0029,ECP
2000000168,companyID_0000,vendorID_0000,ECP
2000000169,companyID_0000,vendorID_0003,ECP
2000000170,companyID_0000,vendorID_0087,ECP
2000000171,companyID_0000,vendorID_0021,ECP
2000000172,companyID_0000,vendorID_0072,ECP
2000000173,companyID_0000,vendorID_0003,ECP
2000000174,companyID_0000,vendorID_0011,ECP
2000000175,companyID_0000,vendorID_0000,ECP
2000000176,companyID_0000,vendorID_0080,ECP
2000000177,companyID_0000,vendorID_0088,ECP
2000000178,companyID_0000,vendorID_0027,ECP
2000000179,companyID_0000,vendorID_0029,ECP
2000000180,companyID_0000,vendorID_0000,ECP
2000000181,companyID_0000,vendorID_0028,ECP
2000000182,companyID_0000,vendorID_0089,ECP
2000000183,companyID_0000,vendorID_0090,ECP
2000000184,companyID_0000,vendorID_0011,ECP
2000000185,companyID_0000,vendorID_0000,ECP
2000000186,companyID_0000,vendorID_0017,ECP
2000000187,companyID_0000,vendorID_0088,ECP
2000000188,companyID_0000,vendorID_0026,ECP
2000000189,companyID_0000,vendorID_0027,ECP
2000000190,companyID_0000,vendorID_0028,ECP
2000000191,companyID_0000,vendorID_0058,ECP
2000000192,companyID_0000,vendorID_0091,ECP
2000000193,companyID_0000,vendorID_0052,ECP
2000000194,companyID_0000,vendorID_0011,ECP
2000000195,companyID_0000,vendorID_0092,ECP
2000000196,companyID_0000,vendorID_0064,ECP
2000000197,companyID_0000,vendorID_0029,ECP
