BELNR,LIFNR,GJAHR,CPUDT,RMWWR,CPUTM
5100000085,vendorID_0015,2018,20181216,405009.0,225900
5100000086,vendorID_0016,2018,20180209,372390.0,225900
5100000087,vendorID_0016,2018,20180302,372390.0,225900
5100000088,vendorID_0016,2018,20180404,372390.0,215900
5100000089,vendorID_0016,2018,20180504,372390.0,215900
5100000090,vendorID_0016,2018,20180604,372390.0,215900
5100000091,vendorID_0016,2018,20180706,372390.0,215900
5100000092,vendorID_0016,2018,20180731,372390.0,215900
5100000093,vendorID_0016,2018,20180801,372390.0,215900
5100000094,vendorID_0016,2018,20180831,372390.0,215900
5100000095,vendorID_0016,2018,20180930,372390.0,215900
5100000096,vendorID_0016,2018,20181004,372390.0,215900
5100000097,vendorID_0016,2018,20181120,372390.0,225900
5100000098,vendorID_0017,2018,20180129,950029.0,225900
5100000099,vendorID_0017,2018,20180226,950029.0,225900
5100000100,vendorID_0017,2018,20180326,950029.0,215900
5100000101,vendorID_0017,2018,20180425,950029.0,215900
5100000102,vendorID_0017,2018,20180525,950029.0,215900
5100000103,vendorID_0017,2018,20180625,950029.0,215900
5100000104,vendorID_0017,2018,20180725,950029.0,215900
5100000105,vendorID_0017,2018,20180827,950029.0,215900
5100000106,vendorID_0017,2018,20180925,950029.0,215900
5100000107,vendorID_0017,2018,20181025,950029.0,215900
5100000108,vendorID_0017,2018,20181126,950029.0,225900
5100000109,vendorID_0016,2018,20180302,502814.0,225900
5100000110,vendorID_0016,2018,20180404,502814.0,215900
5100000111,vendorID_0016,2018,20180504,502814.0,215900
5100000112,vendorID_0016,2018,20180604,502814.0,215900
5100000113,vendorID_0016,2018,20180625,502814.0,215900
5100000114,vendorID_0016,2018,20180702,502814.0,215900
5100000115,vendorID_0016,2018,20180709,502814.0,215900
5100000116,vendorID_0016,2018,20180801,502814.0,215900
5100000117,vendorID_0016,2018,20180904,502814.0,215900
5100000118,vendorID_0016,2018,20181004,502814.0,215900
5100000119,vendorID_0016,2018,20181115,502814.0,225900
5100000120,vendorID_0018,2018,20180124,155884.0,225900
5100000121,vendorID_0018,2018,20180224,155884.0,225900
5100000122,vendorID_0018,2018,20180324,155884.0,225900
5100000123,vendorID_0018,2018,20180424,155884.0,215900
5100000124,vendorID_0018,2018,20180524,155884.0,215900
5100000125,vendorID_0018,2018,20180624,155884.0,215900
5100000126,vendorID_0018,2018,20180724,155884.0,215900
5100000127,vendorID_0018,2018,20180824,155884.0,215900
5100000128,vendorID_0018,2018,20180924,155884.0,215900
5100000129,vendorID_0018,2018,20181024,155884.0,215900
5100000130,vendorID_0018,2018,20181124,155884.0,225900
5100000131,vendorID_0019,2018,20180129,277128.0,225900
5100000132,vendorID_0019,2018,20180226,277128.0,225900
5100000133,vendorID_0019,2018,20180326,277128.0,215900
5100000134,vendorID_0019,2018,20180425,277128.0,215900
5100000135,vendorID_0019,2018,20180525,277128.0,215900
5100000136,vendorID_0019,2018,20180625,277128.0,215900
5100000137,vendorID_0019,2018,20180725,277128.0,215900
5100000138,vendorID_0019,2018,20180827,277128.0,215900
5100000139,vendorID_0019,2018,20180925,277128.0,215900
5100000140,vendorID_0020,2018,20180131,4312806.0,225900
5100000141,vendorID_0020,2018,20180228,4312806.0,225900
5100000142,vendorID_0020,2018,20180331,4312806.0,215900
5100000143,vendorID_0020,2018,20180426,4312806.0,215900
5100000144,vendorID_0020,2018,20180430,4312806.0,215900
5100000145,vendorID_0020,2018,20180531,4312806.0,215900
5100000146,vendorID_0020,2018,20180628,4312806.0,215900
5100000147,vendorID_0020,2018,20180730,4312806.0,215900
5100000148,vendorID_0020,2018,20180831,4312806.0,215900
5100000149,vendorID_0020,2018,20180930,4312806.0,215900
5100000150,vendorID_0020,2018,20181031,4312806.0,225900
5100000151,vendorID_0020,2018,20181130,4312806.0,225900
5100000152,vendorID_0021,2018,20180119,22251.0,225900
5100000153,vendorID_0022,2018,20180212,58196.0,225900
5100000154,vendorID_0022,2018,20180213,58196.0,225900
5100000155,vendorID_0022,2018,20180313,58196.0,225900
5100000156,vendorID_0022,2018,20180413,58196.0,215900
5100000157,vendorID_0022,2018,20180508,58196.0,215900
5100000158,vendorID_0022,2018,20180518,58196.0,215900
5100000159,vendorID_0022,2018,20180815,58196.0,215900
5100000160,vendorID_0023,2018,20180131,1368.0,225900
5100000161,vendorID_0024,2018,20180127,74.0,225900
5100000162,vendorID_0024,2018,20180127,45.0,225900
5100000163,vendorID_0025,2018,20180802,6754.0,215900
5100000164,vendorID_0025,2018,20180831,6754.0,215900
5100000165,vendorID_0025,2018,20180928,6754.0,215900
5100000166,vendorID_0025,2018,20181031,6754.0,225900
5100000167,vendorID_0025,2018,20181130,6754.0,225900
5100000168,vendorID_0025,2018,20181210,6754.0,225900
5100000169,vendorID_0025,2018,20180205,6754.0,225900
5100000170,vendorID_0025,2018,20180228,6754.0,225900
5100000171,vendorID_0025,2018,20180417,6754.0,215900
5100000172,vendorID_0025,2018,20180430,6754.0,215900
5100000173,vendorID_0025,2018,20180531,6754.0,215900
5100000174,vendorID_0025,2018,20180629,6754.0,215900
5100000175,vendorID_0003,2018,20180115,83.0,225900
5100000176,vendorID_0003,2018,20180115,19.0,225900
5100000177,vendorID_0003,2018,20180115,5.0,225900
5100000178,vendorID_0012,2018,20180122,549.0,225900
5100000179,vendorID_0011,2018,20180117,22.0,225900
5100000180,vendorID_0003,2018,20180116,106.0,225900
5100000181,vendorID_0006,2018,20180403,12852.0,215900
5100000182,vendorID_0019,2018,20180129,277128.0,225900
5100000183,vendorID_0019,2018,20180226,277128.0,225900
5100000184,vendorID_0019,2018,20180326,277128.0,215900
5100000185,vendorID_0019,2018,20180425,277128.0,215900
5100000186,vendorID_0019,2018,20180525,277128.0,215900
5100000187,vendorID_0019,2018,20180625,277128.0,215900
5100000188,vendorID_0019,2018,20180725,277128.0,215900
5100000189,vendorID_0019,2018,20180827,277128.0,215900
5100000190,vendorID_0019,2018,20181025,277128.0,215900
5100000191,vendorID_0021,2018,20180118,3065.0,225900
5100000192,vendorID_0026,2018,20180130,6903.0,225900
5100000193,vendorID_0027,2018,20180119,938.0,225900
5100000194,vendorID_0027,2018,20180118,34.0,225900
5100000195,vendorID_0027,2018,20180118,63.0,225900
5100000196,vendorID_0028,2018,20180117,57.0,225900
5100000197,vendorID_0029,2018,20180117,428.0,225900
5100000198,vendorID_0029,2018,20180117,127.0,225900
5100000199,vendorID_0030,2018,20180120,3464.0,225900
5100000200,vendorID_0030,2018,20180403,3464.0,215900
5100000201,vendorID_0030,2018,20180703,3464.0,215900
5100000202,vendorID_0031,2018,20180118,260.0,225900
5100000203,vendorID_0031,2018,20180118,45.0,225900
5100000204,vendorID_0032,2018,20180118,181.0,225900
5100000205,vendorID_0003,2018,20180117,646.0,225900
5100000206,vendorID_0003,2018,20180117,49.0,225900
5100000207,vendorID_0033,2018,20180129,173.0,225900
5100000208,vendorID_0034,2018,20180201,649519.0,225900
5100000209,vendorID_0034,2018,20180213,649519.0,225900
5100000210,vendorID_0034,2018,20180301,649519.0,225900
5100000211,vendorID_0034,2018,20180305,649519.0,225900
5100000212,vendorID_0034,2018,20180401,649519.0,215900
5100000213,vendorID_0034,2018,20180405,649519.0,215900
5100000214,vendorID_0034,2018,20180430,649519.0,215900
5100000215,vendorID_0034,2018,20180502,649519.0,215900
5100000216,vendorID_0034,2018,20180503,649519.0,215900
5100000217,vendorID_0034,2018,20180507,649519.0,215900
5100000218,vendorID_0034,2018,20180525,649519.0,215900
5100000219,vendorID_0034,2018,20180604,649519.0,215900
5100000220,vendorID_0034,2018,20180605,649519.0,215900
5100000221,vendorID_0034,2018,20180612,649519.0,215900
5100000222,vendorID_0034,2018,20180703,649519.0,215900
5100000223,vendorID_0034,2018,20180704,649519.0,215900
5100000224,vendorID_0034,2018,20180711,649519.0,215900
5100000225,vendorID_0034,2018,20180803,649519.0,215900
5100000226,vendorID_0034,2018,20180809,649519.0,215900
5100000227,vendorID_0034,2018,20180829,649519.0,215900
5100000228,vendorID_0034,2018,20180904,649519.0,215900
5100000229,vendorID_0034,2018,20180906,649519.0,215900
5100000230,vendorID_0034,2018,20181002,649519.0,215900
5100000231,vendorID_0034,2018,20181009,649519.0,215900
5100000232,vendorID_0034,2018,20181102,649519.0,225900
5100000233,vendorID_0034,2018,20181105,649519.0,225900
5100000234,vendorID_0034,2018,20181108,649519.0,225900
5100000235,vendorID_0034,2018,20181127,649519.0,225900
5100000236,vendorID_0034,2018,20181204,649519.0,225900
5100000237,vendorID_0034,2018,20181210,649519.0,225900
5100000238,vendorID_0034,2019,20190102,649519.0,225900
5100000239,vendorID_0034,2019,20190103,649519.0,225900
5100000240,vendorID_0035,2018,20180119,828.0,225900
5100000241,vendorID_0036,2018,20180228,412.0,225900
5100000242,vendorID_0037,2018,20180207,2726.0,225900
5100000243,vendorID_0029,2018,20180119,33.0,225900
5100000244,vendorID_0027,2018,20180123,179.0,225900
5100000245,vendorID_0027,2018,20180122,23.0,225900
5100000246,vendorID_0027,2018,20180124,526.0,225900
5100000247,vendorID_0027,2018,20180123,459.0,225900
5100000248,vendorID_0040,2018,20180202,433012.0,225900
5100000249,vendorID_0040,2018,20180302,433012.0,225900
5100000250,vendorID_0040,2018,20180403,433012.0,215900
5100000251,vendorID_0040,2018,20180504,433012.0,215900
5100000252,vendorID_0040,2018,20180605,433012.0,215900
5100000253,vendorID_0040,2018,20180704,433012.0,215900
5100000254,vendorID_0040,2018,20180727,433012.0,215900
5100000255,vendorID_0040,2018,20180904,433012.0,215900
5100000256,vendorID_0040,2018,20181005,433012.0,215900
5100000257,vendorID_0040,2018,20181108,433012.0,225900
5100000258,vendorID_0040,2018,20181205,433012.0,225900
5100000259,vendorID_0040,2018,20181218,433012.0,225900
5100000260,vendorID_0040,2018,20180202,41569.0,225900
5100000261,vendorID_0040,2018,20180302,41569.0,225900
5100000262,vendorID_0040,2018,20180403,41569.0,215900
5100000263,vendorID_0040,2018,20180504,41569.0,215900
5100000264,vendorID_0040,2018,20180604,41569.0,215900
5100000265,vendorID_0040,2018,20180704,41569.0,215900
5100000266,vendorID_0040,2018,20180727,41569.0,215900
5100000267,vendorID_0040,2018,20180904,41569.0,215900
5100000268,vendorID_0040,2018,20181005,41569.0,215900
5100000269,vendorID_0040,2018,20181218,41569.0,225900
5100000270,vendorID_0040,2018,20180202,277128.0,225900
5100000271,vendorID_0040,2018,20180302,277128.0,225900
5100000272,vendorID_0040,2018,20180403,277128.0,215900
5100000273,vendorID_0040,2018,20180515,277128.0,215900
5100000274,vendorID_0040,2018,20180604,277128.0,215900
5100000275,vendorID_0040,2018,20180704,277128.0,215900
5100000276,vendorID_0040,2018,20180803,277128.0,215900
5100000277,vendorID_0040,2018,20180904,277128.0,215900
5100000278,vendorID_0040,2018,20181005,277128.0,215900
5100000279,vendorID_0040,2018,20181105,277128.0,225900
5100000280,vendorID_0040,2018,20181205,277128.0,225900
5100000281,vendorID_0040,2018,20181218,277128.0,225900
5100000282,vendorID_0040,2018,20180202,339481.0,225900
5100000283,vendorID_0040,2018,20180302,339481.0,225900
5100000284,vendorID_0040,2018,20180403,339481.0,215900
5100000285,vendorID_0040,2018,20180515,339481.0,215900
5100000286,vendorID_0040,2018,20180604,339481.0,215900
5100000287,vendorID_0040,2018,20180704,339481.0,215900
5100000288,vendorID_0040,2018,20180803,339481.0,215900
5100000289,vendorID_0040,2018,20180904,339481.0,215900
5100000290,vendorID_0040,2018,20181005,339481.0,215900
5100000291,vendorID_0040,2018,20181105,339481.0,225900
5100000292,vendorID_0040,2018,20181205,339481.0,225900
5100000293,vendorID_0040,2018,20181218,339481.0,225900
5100000294,vendorID_0040,2018,20180202,190525.0,225900
5100000295,vendorID_0040,2018,20180302,190525.0,225900
5100000296,vendorID_0040,2018,20180404,190525.0,215900
5100000297,vendorID_0040,2018,20180504,190525.0,215900
5100000298,vendorID_0040,2018,20180604,190525.0,215900
5100000299,vendorID_0040,2018,20180704,190525.0,215900
5100000300,vendorID_0040,2018,20180727,190525.0,215900
5100000301,vendorID_0040,2018,20180904,190525.0,215900
5100000302,vendorID_0040,2018,20181005,190525.0,215900
5100000303,vendorID_0040,2018,20181105,190525.0,225900
5100000304,vendorID_0040,2018,20181205,190525.0,225900
5100000305,vendorID_0040,2018,20181218,190525.0,225900
5100000306,vendorID_0040,2018,20180202,356802.0,225900
5100000307,vendorID_0040,2018,20180302,356802.0,225900
5100000308,vendorID_0040,2018,20180403,356802.0,215900
5100000309,vendorID_0040,2018,20180504,356802.0,215900
5100000310,vendorID_0040,2018,20180604,356802.0,215900
5100000311,vendorID_0040,2018,20180704,356802.0,215900
5100000312,vendorID_0040,2018,20180727,356802.0,215900
5100000313,vendorID_0040,2018,20180904,356802.0,215900
5100000314,vendorID_0040,2018,20181005,356802.0,215900
5100000315,vendorID_0040,2018,20181106,356802.0,225900
5100000316,vendorID_0040,2018,20181205,356802.0,225900
5100000317,vendorID_0040,2018,20181218,356802.0,225900
5100000318,vendorID_0040,2018,20180202,304840.0,225900
5100000319,vendorID_0040,2018,20180302,304840.0,225900
5100000320,vendorID_0040,2018,20180403,304840.0,215900
5100000321,vendorID_0040,2018,20180504,304840.0,215900
5100000322,vendorID_0040,2018,20180604,304840.0,215900
5100000323,vendorID_0040,2018,20180704,304840.0,215900
5100000324,vendorID_0040,2018,20180727,304840.0,215900
5100000325,vendorID_0040,2018,20180904,304840.0,215900
5100000326,vendorID_0040,2018,20181005,304840.0,215900
5100000327,vendorID_0040,2018,20181105,304840.0,225900
5100000328,vendorID_0040,2018,20181205,304840.0,225900
5100000329,vendorID_0040,2018,20181218,304840.0,225900
5100000330,vendorID_0040,2018,20180205,259807.0,225900
5100000331,vendorID_0040,2018,20180309,259807.0,225900
5100000332,vendorID_0040,2018,20180430,259807.0,215900
5100000333,vendorID_0040,2018,20180515,259807.0,215900
5100000334,vendorID_0040,2018,20180604,259807.0,215900
5100000335,vendorID_0040,2018,20180704,259807.0,215900
5100000336,vendorID_0040,2018,20180727,259807.0,215900
5100000337,vendorID_0040,2018,20181005,259807.0,215900
5100000338,vendorID_0040,2018,20181205,259807.0,225900
5100000339,vendorID_0040,2018,20181221,259807.0,225900
5100000340,vendorID_0040,2018,20180202,207846.0,225900
5100000341,vendorID_0040,2018,20180302,207846.0,225900
5100000342,vendorID_0040,2018,20180404,207846.0,215900
5100000343,vendorID_0040,2018,20180504,207846.0,215900
5100000344,vendorID_0040,2018,20180604,207846.0,215900
5100000345,vendorID_0040,2018,20180704,207846.0,215900
5100000346,vendorID_0040,2018,20180727,207846.0,215900
5100000347,vendorID_0040,2018,20180904,207846.0,215900
5100000348,vendorID_0040,2018,20181005,207846.0,215900
5100000349,vendorID_0040,2018,20181106,207846.0,225900
5100000350,vendorID_0040,2018,20181205,207846.0,225900
5100000351,vendorID_0040,2018,20181218,207846.0,225900
5100000352,vendorID_0040,2018,20180202,294448.0,225900
5100000353,vendorID_0040,2018,20180302,294448.0,225900
5100000354,vendorID_0040,2018,20180403,294448.0,215900
5100000355,vendorID_0040,2018,20180504,294448.0,215900
5100000356,vendorID_0040,2018,20180604,294448.0,215900
5100000357,vendorID_0040,2018,20180704,294448.0,215900
5100000358,vendorID_0040,2018,20180727,294448.0,215900
5100000359,vendorID_0040,2018,20180904,294448.0,215900
5100000360,vendorID_0040,2018,20181010,294448.0,215900
5100000361,vendorID_0040,2018,20181112,294448.0,225900
5100000362,vendorID_0040,2018,20181205,294448.0,225900
5100000363,vendorID_0040,2018,20181218,294448.0,225900
5100000364,vendorID_0040,2018,20180205,259807.0,225900
5100000365,vendorID_0040,2018,20180302,259807.0,225900
5100000366,vendorID_0040,2018,20180404,259807.0,215900
5100000367,vendorID_0040,2018,20180504,259807.0,215900
5100000368,vendorID_0040,2018,20180604,259807.0,215900
5100000369,vendorID_0040,2018,20180704,259807.0,215900
5100000370,vendorID_0040,2018,20180727,259807.0,215900
5100000371,vendorID_0040,2018,20180904,259807.0,215900
5100000372,vendorID_0040,2018,20181005,259807.0,215900
5100000373,vendorID_0040,2018,20181106,259807.0,225900
5100000374,vendorID_0040,2018,20181206,259807.0,225900
5100000375,vendorID_0040,2018,20181218,259807.0,225900
5100000376,vendorID_0040,2018,20180202,381051.0,225900
5100000377,vendorID_0040,2018,20180302,381051.0,225900
5100000378,vendorID_0040,2018,20180403,381051.0,215900
5100000379,vendorID_0040,2018,20180515,381051.0,215900
5100000380,vendorID_0040,2018,20180604,381051.0,215900
5100000381,vendorID_0040,2018,20180704,381051.0,215900
5100000382,vendorID_0040,2018,20180803,381051.0,215900
5100000383,vendorID_0040,2018,20180904,381051.0,215900
5100000384,vendorID_0040,2018,20181005,381051.0,215900
5100000385,vendorID_0040,2018,20181105,381051.0,225900
5100000386,vendorID_0040,2018,20181205,381051.0,225900
5100000387,vendorID_0040,2018,20181218,381051.0,225900
5100000388,vendorID_0040,2018,20180202,495366.0,225900
5100000389,vendorID_0040,2018,20180302,495366.0,225900
5100000390,vendorID_0040,2018,20180403,495366.0,215900
5100000391,vendorID_0040,2018,20180504,495366.0,215900
5100000392,vendorID_0040,2018,20180604,495366.0,215900
5100000393,vendorID_0040,2018,20180704,495366.0,215900
5100000394,vendorID_0040,2018,20180727,495366.0,215900
5100000395,vendorID_0040,2018,20180905,495366.0,215900
5100000396,vendorID_0040,2018,20181010,495366.0,215900
5100000397,vendorID_0040,2018,20181106,495366.0,225900
5100000398,vendorID_0040,2018,20181205,495366.0,225900
5100000399,vendorID_0040,2018,20181218,495366.0,225900
5100000400,vendorID_0040,2018,20180202,242487.0,225900
5100000401,vendorID_0040,2018,20180302,242487.0,225900
5100000402,vendorID_0040,2018,20180403,242487.0,215900
5100000403,vendorID_0040,2018,20180504,242487.0,215900
5100000404,vendorID_0040,2018,20180604,242487.0,215900
5100000405,vendorID_0040,2018,20180704,242487.0,215900
5100000406,vendorID_0040,2018,20180727,242487.0,215900
5100000407,vendorID_0040,2018,20180904,242487.0,215900
5100000408,vendorID_0040,2018,20181005,242487.0,215900
5100000409,vendorID_0040,2018,20181218,242487.0,225900
5100000410,vendorID_0040,2018,20180202,207846.0,225900
5100000411,vendorID_0040,2018,20180302,207846.0,225900
5100000412,vendorID_0040,2018,20180410,207846.0,215900
5100000413,vendorID_0040,2018,20180504,207846.0,215900
5100000414,vendorID_0040,2018,20180604,207846.0,215900
5100000415,vendorID_0040,2018,20180704,207846.0,215900
5100000416,vendorID_0040,2018,20180727,207846.0,215900
5100000417,vendorID_0040,2018,20181106,207846.0,225900
5100000418,vendorID_0040,2018,20180202,346410.0,225900
5100000419,vendorID_0040,2018,20180305,346410.0,225900
5100000420,vendorID_0040,2018,20180403,346410.0,215900
5100000421,vendorID_0040,2018,20180504,346410.0,215900
5100000422,vendorID_0040,2018,20180604,346410.0,215900
5100000423,vendorID_0040,2018,20180704,346410.0,215900
5100000424,vendorID_0040,2018,20180727,346410.0,215900
5100000425,vendorID_0040,2018,20180905,346410.0,215900
5100000426,vendorID_0040,2018,20181005,346410.0,215900
5100000427,vendorID_0040,2018,20181106,346410.0,225900
5100000428,vendorID_0040,2018,20181205,346410.0,225900
5100000429,vendorID_0040,2018,20181218,346410.0,225900
5100000430,vendorID_0000,2018,20180122,83.0,225900
5100000431,vendorID_0029,2018,20180122,132.0,225900
5100000432,vendorID_0028,2018,20180123,147.0,225900
5100000433,vendorID_0041,2018,20180129,51.0,225900
5100000434,vendorID_0041,2018,20180129,159.0,225900
5100000435,vendorID_0042,2018,20180126,86.0,225900
5100000436,vendorID_0043,2018,20180131,5897.0,225900
5100000437,vendorID_0043,2018,20180208,5897.0,225900
5100000438,vendorID_0027,2018,20180126,141.0,225900
5100000439,vendorID_0027,2018,20180124,113.0,225900
5100000440,vendorID_0027,2018,20180124,121.0,225900
5100000441,vendorID_0035,2018,20180129,362.0,225900
5100000442,vendorID_0044,2018,20180125,60.0,225900
5100000443,vendorID_0044,2018,20180319,60.0,225900
5100000444,vendorID_0044,2018,20180529,60.0,215900
5100000445,vendorID_0044,2018,20181218,60.0,225900
5100000446,vendorID_0045,2018,20180124,710.0,225900
5100000447,vendorID_0045,2018,20180124,124.0,225900
5100000448,vendorID_0000,2018,20180124,98.0,225900
5100000449,vendorID_0000,2018,20180124,88.0,225900
5100000450,vendorID_0000,2018,20180124,65.0,225900
5100000451,vendorID_0046,2017,20170831,418.0,215900
5100000452,vendorID_0027,2018,20180126,41.0,225900
5100000453,vendorID_0003,2018,20180125,40.0,225900
5100000454,vendorID_0003,2018,20180125,31.0,225900
5100000455,vendorID_0021,2018,20180208,12834.0,225900
5100000456,vendorID_0047,2018,20180211,34641.0,225900
5100000457,vendorID_0048,2018,20180130,967.0,225900
5100000458,vendorID_0049,2018,20180130,5629.0,225900
5100000459,vendorID_0051,2017,20171231,5868.0,225900
5100000460,vendorID_0027,2018,20180129,41.0,225900
5100000461,vendorID_0000,2018,20180130,103.0,225900
5100000462,vendorID_0027,2018,20180129,43.0,225900
5100000463,vendorID_0052,2018,20180223,11353.0,225900
5100000464,vendorID_0052,2018,20181109,11353.0,225900
5100000465,vendorID_0048,2018,20180130,74.0,225900
5100000466,vendorID_0048,2018,20180130,102.0,225900
5100000467,vendorID_0048,2018,20180130,167.0,225900
5100000468,vendorID_0003,2018,20180129,46.0,225900
5100000469,vendorID_0053,2017,20170131,7815013.0,225900
5100000470,vendorID_0053,2017,20170525,7815013.0,215900
5100000471,vendorID_0053,2018,20180131,7815013.0,225900
5100000472,vendorID_0053,2018,20180209,7815013.0,225900
5100000473,vendorID_0053,2018,20180228,7815013.0,225900
5100000474,vendorID_0053,2018,20180309,7815013.0,225900
5100000475,vendorID_0053,2018,20180329,7815013.0,215900
5100000476,vendorID_0053,2018,20180331,7815013.0,215900
5100000477,vendorID_0053,2018,20180406,7815013.0,215900
5100000478,vendorID_0053,2018,20180409,7815013.0,215900
5100000479,vendorID_0053,2018,20180410,7815013.0,215900
5100000480,vendorID_0053,2018,20180430,7815013.0,215900
5100000481,vendorID_0053,2018,20180531,7815013.0,215900
5100000482,vendorID_0053,2018,20180630,7815013.0,215900
5100000483,vendorID_0053,2018,20180731,7815013.0,215900
5100000484,vendorID_0053,2018,20180831,7815013.0,215900
5100000485,vendorID_0053,2018,20180929,7815013.0,215900
5100000486,vendorID_0053,2018,20180930,7815013.0,215900
5100000487,vendorID_0053,2018,20181113,7815013.0,225900
5100000488,vendorID_0053,2018,20181130,7815013.0,225900
5100000489,vendorID_0053,2019,20190430,7815013.0,215900
5100000490,vendorID_0054,2018,20180131,19875.0,225900
5100000491,vendorID_0054,2018,20180207,19875.0,225900
5100000492,vendorID_0019,2018,20180525,132664.0,215900
5100000493,vendorID_0019,2018,20180625,132664.0,215900
5100000494,vendorID_0019,2018,20180725,132664.0,215900
5100000495,vendorID_0019,2018,20180925,132664.0,215900
5100000496,vendorID_0028,2018,20180130,293.0,225900
5100000497,vendorID_0029,2018,20180130,226.0,225900
5100000498,vendorID_0056,2018,20180129,53065.0,225900
