EBELN,WEBRE,EBELP,PSTYP
2000000123,,00004,0
2000000123,,00005,0
2000000124,X,00001,0
2000000124,X,00002,0
2000000125,,00001,0
2000000125,,00002,0
2000000126,,00001,0
2000000126,,00002,0
2000000126,,00003,0
2000000127,X,00001,0
2000000128,X,00001,0
2000000129,X,00001,0
2000000130,,00001,0
2000000130,,00002,0
2000000131,,00001,0
2000000131,,00002,0
2000000132,X,00001,0
2000000133,,00001,0
2000000134,,00001,0
2000000135,,00001,0
2000000135,,00002,0
2000000136,,00001,0
2000000137,X,00001,0
2000000138,,00001,0
2000000139,,00001,0
2000000140,,00001,0
2000000141,X,00001,0
2000000141,X,00002,0
2000000141,X,00003,0
2000000142,,00001,0
2000000142,,00002,0
2000000142,,00003,0
2000000143,X,00001,0
2000000144,,00001,0
2000000144,,00002,0
2000000145,,00001,0
2000000146,,00001,0
2000000147,X,00001,0
2000000148,X,00001,0
2000000149,X,00001,0
2000000150,,00001,0
2000000150,,00002,0
2000000150,,00003,0
2000000150,,00004,0
2000000150,,00005,0
2000000150,,00006,0
2000000150,,00007,0
2000000150,,00008,0
2000000150,,00009,0
2000000151,,00001,0
2000000152,,00001,0
2000000152,,00002,0
2000000152,,00003,0
2000000152,,00004,0
2000000153,,00001,0
2000000153,,00002,0
2000000153,,00003,0
2000000153,,00004,0
2000000153,,00005,0
2000000153,,00006,0
2000000153,,00007,0
2000000153,,00008,0
2000000153,,00009,0
2000000153,,00010,0
2000000154,X,00001,0
2000000155,,00001,0
2000000156,X,00001,0
2000000157,,00001,0
2000000157,,00002,0
2000000157,,00003,0
2000000157,,00004,0
2000000158,X,00001,0
2000000159,,00001,0
2000000160,,00001,0
2000000160,,00002,0
2000000161,X,00001,0
2000000162,,00001,0
2000000162,,00002,0
2000000163,X,00001,0
2000000164,,00001,0
2000000165,,00001,0
2000000166,,00001,0
2000000167,X,00001,0
2000000167,X,00002,0
2000000167,X,00003,0
2000000168,,00001,0
2000000168,,00002,0
2000000169,,00001,0
2000000169,,00002,0
2000000169,,00003,0
2000000170,X,00001,0
2000000171,X,00001,0
2000000172,,00001,0
2000000172,,00002,0
2000000173,,00001,0
2000000173,,00002,0
2000000173,,00003,0
2000000173,,00004,0
2000000174,,00001,0
2000000174,,00002,0
2000000174,,00003,0
2000000174,,00004,0
2000000174,,00005,0
2000000174,,00006,0
2000000175,,00001,0
2000000175,,00002,0
2000000176,X,00001,0
2000000177,X,00001,0
2000000177,X,00002,0
2000000178,,00001,0
2000000178,,00002,0
2000000178,,00003,0
2000000179,X,00001,0
2000000180,,00001,0
2000000180,,00002,0
2000000180,,00003,0
2000000181,X,00001,0
2000000182,X,00001,0
2000000183,X,00001,0
2000000184,,00001,0
2000000185,,00001,0
2000000186,X,00001,0
2000000187,X,00001,0
2000000188,X,00001,0
2000000189,,00001,0
2000000190,X,00001,0
2000000191,X,00001,0
2000000192,X,00001,0
2000000193,X,00001,0
2000000194,,00001,0
2000000195,,00001,0
2000000196,,00001,0
2000000197,X,00001,0
2000000197,X,00002,0
